"NEWPORT (RECREATION GROUND)",,,,,,,,,,,,
Grid ref,SZ491890,Long,-1.306142,Lat,50.698579,,,,,,,
Station no,602,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.68,2.43,1.19,1.86,3.94,4.71,2.87,,,,,
February,6.69,0.70,1.44,3.48,2.29,0.41,3.99,,,,,
March,4.92,3.01,0.36,3.98,1.00,0.63,1.53,,,,,
April,2.70,2.60,1.43,0.18,0.56,1.77,0.28,,,,,
May,2.31,2.18,2.67,2.00,3.10,0.29,0.78,,,,,
June,1.22,0.71,1.89,2.63,3.10,2.50,1.55,,,,,
July,2.12,0.51,2.22,3.45,0.67,2.10,4.43,,,,,
August,5.28,1.74,1.68,2.53,1.19,5.42,1.58,,,,,
September,3.37,5.91,2.48,3.39,1.56,3.43,,,,,,
October,1.64,3.25,2.60,2.52,2.29,0.72,,,,,,
November,9.44,3.83,2.04,5.72,2.17,0.72,,,,,,
December,3.36,3.15,0.81,3.16,5.31,4.66,,,,,,
Total,46.73,30.02,20.81,34.90,27.18,27.36,,,,,,
Calc annual,46.73,30.02,20.81,34.90,27.18,27.36,17.01,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
