"WESTEND MOOR",,,,,,,,,,,,
Grid ref,SK129936,Long,-1.807276,Lat,53.439021,,,,,,,
Station no,2705,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.40,1.30,2.80,2.20,,
February,,,,,,,2.80,1.90,3.80,4.10,,
March,,,,,,,3.30,4.00,3.10,4.10,,
April,,,,,,,1.20,3.10,2.80,3.30,,
May,,,,,,,3.60,4.60,3.30,2.80,,
June,,,,,,,1.80,7.80,2.30,5.30,,
July,,,,,,,2.60,4.10,5.80,6.50,,
August,,,,,,,4.20,5.00,3.60,3.30,,
September,,,,,,,1.40,0.80,5.10,3.50,,
October,,,,,,,7.30,7.80,1.70,6.30,,
November,,,,,,,6.40,4.70,3.90,2.60,,
December,,,,,,,3.50,3.70,2.60,6.00,,
Total,,,41.70,,-999.00,38.60,42.50,48.80,40.80,50.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,42.50,48.80,40.80,50.00,,
Difference,NaN,NaN,41.70,NaN,-999.00,38.60,0.00,0.00,-0.00,0.00,,
