WOLSINGHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ072372,Long,-1.8882,Lat,54.73,Elevation,464,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZ075371,Long,-1.885063,Lat,54.728831,,,,,,,,,,,,,,,
Station no,RR1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,4.68,2.86,1.8,4.78,3.28,2.8,4.49,0.97,6.32,2.66,1.57,0.59,0.69,1.63,4.62,5.5,2.41,6.41,1.83,1.69,0.88,4.02,1.67,2,2.3,3.65,6.28,1.04,2.21,1.49,4.94,5,2.16,0.97,3.95,3.46,0.77,3.82,1.09,2.07,2.1,4.19,2.54,4.79,5.8,1.91,2.43,1.83,4.32,,
February,,,,,,,,,,3.35,3.26,2.44,3.77,2.01,1.61,1.98,3.41,2.12,1.31,3.12,3.3,4.66,2.04,3.41,2.13,2.27,0.98,1.27,1.8,1.81,1.52,0.11,3.35,4.63,6.03,1.3,0.84,1.93,2.01,2.22,5.83,1.32,1.42,3.23,2.68,1.39,1.33,1.69,1.88,1.59,4.53,1.91,3.22,1.38,3.34,4.47,4.74,0.86,,
March,,,,,,,,,,2.37,1.95,1.53,4.48,3.1,2.01,0.71,3.69,4.78,0.86,1.58,1.34,3.82,3.09,2.29,2.63,2.3,4.16,2.31,5.66,3.53,2.71,3.11,1.3,0.48,2.02,3.58,3.82,5.72,2.72,1.41,1.44,3.07,1.28,3.48,2.08,2.71,1.77,2.22,5.99,4.75,1.39,3.62,3.11,5.86,2.11,1.75,4.97,2.38,,
April,,,,,,,,,,1.98,0.81,2.55,3.85,0.99,1.86,1.12,3.24,5.33,2.06,2.77,2.75,1.58,4.55,2.16,2.37,2.06,2.36,1.19,2.94,3.93,1.68,4.11,2.13,0.37,1.41,1.66,1.13,2.31,2.86,4.66,1.74,1.85,1.88,1.63,1.82,3.98,1.46,1.56,3.42,2.27,3,1.57,0.1,3.88,0.8,0.94,1.21,2.55,,
May,,,,,,,,,,3.87,1.79,1.4,2.23,2.44,2.54,1.44,1.19,3.01,5.55,2.21,2.06,1.69,1.56,2.23,0.8,4.52,4.3,2.23,1.25,1.63,2.19,3.78,4.49,2.92,2.72,1.09,0.55,1.73,1.71,3.76,1.68,1.57,2.81,3.27,2.91,0.38,3.22,4.23,2.53,1.77,1.84,1.07,2.57,2.8,1.5,2.12,3.07,1.76,,
June,,,,,,,,,,2.66,1.77,3.14,2.74,1.32,1.51,2.15,3.42,1.64,2.41,4.71,3.18,2.42,4.39,2.92,0.86,1.53,1.4,0.41,2.46,0.21,2.95,0.86,4.28,1.55,3.75,1.57,2.01,3.3,1.42,1.49,3.9,1.64,1.17,1.98,2.17,1.06,0.6,3.01,0.67,2.86,1.51,4.88,4.03,1.23,4.23,0.81,1.92,1.87,,
July,,,,,,,,,,0.58,0.6,3.13,5.03,2.26,0.79,4.59,1.48,3.67,0.81,5.11,5.35,3.91,3.54,3.91,5.07,0.9,5.05,1.35,5.57,3.1,1.89,4.96,1.21,2.95,2.5,6.63,2.07,1.14,0.74,3.15,1.26,1.53,4.76,5.27,1.79,0.52,1.38,1.58,2.15,2.76,4.81,0.31,3.74,1.44,2.35,3.59,2.96,0.94,,
August,,,,,,,,,,1.2,2.35,2.88,3.64,2.77,2.53,2.77,2.14,7.13,5.09,3.46,2.1,5.28,2.36,1.91,0.87,2.63,1.12,1.65,1.89,3.38,4.74,5.49,4.28,3.09,2.75,1.89,1.44,2.8,2.4,0.87,6.07,2.82,1.87,2.8,2.62,3.8,1.98,1.51,1.99,3.36,4.36,2.34,4.94,1,1.95,3.25,2.3,6.65,,
September,,,,,,,,,4.84,5.15,1.21,5.73,4.65,1.92,2.8,2.96,3.87,2.18,1.96,1.38,5.24,3.67,2.6,4.56,1.74,2.56,1.59,4.24,1.23,0.68,1.59,2.63,3.36,2.78,1.37,0.72,3.73,2.23,0.54,3.9,0.85,1.8,1.08,2.72,0.84,2.7,0.78,0.3,3.07,2.18,0.41,2.33,2.41,3.97,1.86,0.91,1.66,0.94,,
October,,,,,,,,,2.03,2.36,6.31,2.54,7.02,2.29,2.54,5.6,1.86,3.17,2.3,0.83,6.99,5.19,5.45,3.71,2.17,5.62,7.18,1.8,1.42,5.98,1.83,4.24,5.76,0.89,5.78,4.62,6.24,2.19,6.78,2.24,6.43,1.66,2.86,9.28,0.74,2.28,5.15,6.28,2.39,2.89,3.52,3.53,2.79,3.04,2.98,1.3,4.09,3.36,,
November,,,,,,,,,3.51,3.54,2.58,2.04,6.27,1.91,3.48,6.46,3.62,3.51,7.65,2.36,3.16,3.57,4.63,1.6,2.29,2.4,6.11,4.64,7.78,1.16,4.75,3.53,1.65,2.96,1.56,5.49,1.43,2.11,2.81,2.68,4.29,6.69,2.85,2.35,2.59,6.17,3.29,2.22,1.62,0.82,3.87,4.99,2.51,1.9,4.67,2.2,3.82,1.58,,
December,,,,,,,,,7.29,4.96,5.69,2.35,5.34,0.69,5.12,2.51,10.01,1.84,2.87,1.02,4.71,4.1,5.89,1.58,3.45,1.2,5.22,3.15,1.46,1.02,2.46,5,0.84,2.98,2.48,3.95,4.73,3.14,3.15,3.65,3.08,3.83,3.32,1.92,2.4,0.69,2.8,4.31,1.22,4.06,3.13,4.76,3.59,1.88,7.77,7.4,3.06,3.36,,
Total,,,,,,,,,,36.7,31.18,31.53,53.8,24.98,29.59,36.78,38.9,44.7,35.53,30.12,40.77,40.58,41.73,34.9,29.88,30.4,45.88,26.07,35.15,27.31,32.33,39.49,34.65,27.9,36.02,38.78,29.03,30.81,28.63,34.97,41.57,29.94,26.27,41.88,26.1,26.45,27.58,30,29,31.41,36.56,33.85,37.8,34.18,35.47,31.17,35.63,30.57,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.57,29.94,26.27,41.88,26.1,26.45,27.58,30,29,31.41,36.56,33.85,37.8,34.18,35.47,31.17,35.63,30.57,0,0
ERROR_TYRain_1860-1869_05_pt2-page-023.csv CORRECTION: total given for incomplete year with estimate for Jan-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGR for Front Street where the observer A Mitchell lived, draper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
