TAUNTON-THE-CASTLE,,,,,,,,,,,,,,,
Grid ref,ST225246 ,Long,-3.10564,Lat,51.01556,Elevation,50,ft,,,,,,,
Station no,RR7947,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874
January,,,,,,,,,3.25,4.4,1.7,2.85,4.83,4.03,2.85
February,,,,,,,,,1.1,2.7,1.7,1.13,3.51,2.4,2.66
March,,,,,,,,,2.25,1.49,1.35,1.43,2.3,3.35,0.59
April,,,,,,,,,1.62,0.54,0.52,3.37,2.92,0.81,2.27
May,,,,,,,,,1.2,4.37,1.03,0.62,1.87,1.15,1
June,,,,,,,,,0.54,1.09,0.52,2.26,2.86,1.6,1.07
July,,,,,,,,,0.97,0.56,0.75,3.66,3.77,2.33,1.32
August,,,,,,,,,5.03,0.36,2.37,1.34,1.56,4.43,1.99
September,,,,,,,,,3.88,3.31,1.29,4.97,2.13,2.71,5.87
October,,,,,,,,,2.16,2.65,4.14,2.97,4.16,2.25,
November,,,,,,,,,1.25,1.74,2.55,1.11,4.05,2.62,
December,,,,,,,,,5.22,3.66,1.83,2.24,5.36,0.43,
Total,,,,,,,,,28.47,26.87,19.75,27.95,39.32,28.11,
,,,,,,,,,,,,,,,
1874 Gauge moved to Hoveland Terrace,,,,,,,,,,,,,,,
