TAUNTON-THE-CASTLE-(HOVELAND-TERRACE),,,,,,,,,,,,,,,,
Grid ref,ST220237,Long,-3.11308,Lat,51.00737,Elevation,120,ft,,,,,,,,
Station no,RR7948,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,3.57,0.9,5.19,1.14,4.27,0.31,,,,,,,,,
February,,2.29,3.56,1.45,1.38,3.34,4.55,,,,,,,,,
March,,1.24,4.61,1.83,1.5,0.76,1.7,,,,,,,,,
April,,1.56,3.22,3.58,3.8,2.49,1.88,,,,,,,,,
May,,2.57,0.18,3.2,3.96,3.23,1.34,,,,,,,,,
June,,3.02,1.45,0.72,2.66,5.5,1.53,,,,,,,,,
July,,4.18,0.73,3.05,2.76,2.83,5.58,,,,,,,,,
August,,2.42,2.49,3.3,5.96,4.63,0.17,,,,,,,,,
September,,2.84,5.89,2.15,,2.25,3,,,,,,,,,
October,3.59,7.3,2.9,1.95,4.85,1.16,5.85,,,,,,,,,
November,2.68,4.64,4.54,5.56,4.66,0.45,2.54,,,,,,,,,
December,3.35,0.88,8.63,1.66,2.2,1.15,,,,,,,,,,
Total,,36.51,39.1,33.64,,32.06,,,,,,,,,,
,,,,,,,,,,,,,,,,
1874 Gauge moved from The Castle 0.6 mile NE,,,,,,,,,,,,,,,,
Exact house unknown in short row of houses but area fairly flat,,,,,,,,,,,,,,,,
1878 Sept Value copied from nearby site,,,,,,,,,,,,,,,,
1880 Dec No entry,,,,,,,,,,,,,,,,
