BEARE-GREEN-WIGMORE-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ170424,Long,-0.32788,Lat,51.16908,Elevation,350,ft,,,,,,,,,,,,
Station no,109/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.2,3.6,5.74,2.94,2.79,3.57,6.25,,,,,,,
February,,,,,,,5.49,0.92,1.98,3.29,3.85,0.85,2.1,,,,,,,
March,,,,,,,4.03,0.42,1.55,3.85,3.43,2.39,0.55,,,,,,,
April,,,,,,,3.76,0.09,2.8,1.84,1.77,1.89,1.3,,,,,,,
May,,,,,,0.34,2.67,1.63,1.85,1.46,2.24,3.63,3.25,,,,,,,
June,,,,,,4.26,1.93,0.76,2.08,0.34,3.13,0.17,1.6,,,,,,,
July,,,,,,3.71,1.31,2.12,3.13,3.67,2.18,1.94,2.13,,,,,,,
August,,,,,,0.56,1.04,1.08,3.33,0.14,4.62,2.36,1.28,,,,,,,
September,,,,,,2.35,2.11,2.7,1.95,2.28,0.27,2.15,1.94,,,,,,,
October,,,,,,2.68,3.45,4.01,7.46,3.72,1.34,4.05,4.75,,,,,,,
November,,,,,,4.95,2.29,4.66,6.61,8.5,3.9,1.85,1.89,,,,,,,
December,,,,,,3.58,4.8,4.34,2.05,2.04,3.01,4.09,2.33,,,,,,,
Total,,,,,,,39.08,26.33,40.53,34.07,32.53,28.94,29.37,,,,,,,
,,,,,,,,,,,,,,,,,,,,
New gauge in kitchen garden,,,,,,,,,,,,,,,,,,,,
Large grounds with several possible kitchen gardens but all around same altitude,,,,,,,,,,,,,,,,,,,,
Started May 1936,,,,,,,,,,,,,,,,,,,,
