WHITCHURCH-GREEN-END,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ542415,Long,-2.6833997,Lat,52.968891,Elevation,310,ft.,,,,,,,,,,,,
Station no,RR4853,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.61,2.02,3.38,2.42,0.91,0.81,2.9,,,,,,,,,
February,,,,,1.81,2.27,1.07,0.75,1.13,1.21,2.18,,,,,,,,,
March,,,,,2,1.08,1.84,1.71,1.22,3.13,1.22,,,,,,,,,
April,,,,,0.94,2.1,1.86,1.02,1.27,2.1,0.98,,,,,,,,,
May,,,,,1.19,1.27,6.8,2.07,0.99,1.01,2.99,,,,,,,,,
June,,,,,2.25,3.08,2.2,1.83,1.01,0.54,2.1,,,,,,,,,
July,,,,,3.23,0.45,2.68,1.86,,1.23,3.14,,,,,,,,,
August,,,,,1.03,1.69,1.18,1.12,4.34,5.51,3.92,,,,,,,,,
September,,,,,2.84,4.97,2.77,3.17,1.03,3.28,1.45,,,,,,,,,
October,,,,,1.15,5.21,4.55,4,1.53,2.99,1.75,,,,,,,,,
November,,,,,1.96,2.29,2.39,1.27,,1.87,5.96,,,,,,,,,
December,,,,,2.82,1.79,3.87,1.16,0.66,1.1,3.42,,,,,,,,,
Total,,,,,23.83,28.22,34.59,22.38,,24.78,32.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is west end of Green End, Whitchurch which has the right relationship to the church.",,,,,,,,,,,,,,,,,,,,
Altitude taken from OS map.,,,,,,,,,,,,,,,,,,,,
400m from Whitchurch Dodington,,,,,,,,,,,,,,,,,,,,
"1888 notes says unreliable, Jul and Nov readings noted as being 3 inches too low and annual total crossed out. Removed from this record",,,,,,,,,,,,,,,,,,,,
