SELKIRK (BYETHORN),,,,,,,,,,
Grid ref,NT475286,Long,-2.833644,Lat,55.548263,Elevation,600,ft,,
Station no,5060/5/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.06,3.14,1.58,2.42
February,,,,,,,3.77,2.65,0.8,3.35
March,,,,,,,1.77,1.5,1.29,2.01
April,,,,,,,0.91,1.91,2.44,1.99
May,,,,,,,1.8,2.56,0.68,1.71
June,,,,,,2.17,1.56,3.59,2.75,1.28
July,,,,,,4.26,2.85,5.29,1.94,2.38
August,,,,,,8.63,4.63,2.7,0.53,4.13
September,,,,,,2.39,1.71,2.42,0.85,1.58
October,,,,,,1.83,2.74,2.17,2.6,3.79
November,,,,,,1.04,1.4,0.89,6.05,3.45
December,,,,,,3.4,2.44,4.21,3.63,2.77
Total,,,,,,,29.64,33.03,25.14,30.86
,,,,,,,,,,
15958,SELKIRK: BYETHORN ,01/01/1956,31/12/1983,,,,,,,
