ST-MAWGAN-AIRFIELD,,,,,,,,,,
Grid ref,SW872641,Long,-4.99757,Lat,50.4386,Elevation,337,ft,,
Station no,1883/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.29,3.13,4.84,5.36,3.63
February,,,,,,0.84,4.47,5.35,0.54,4.02
March,,,,,,1.9,3.69,2.45,4.53,3.02
April,,,,,,0.68,0.42,1.06,2.4,3.59
May,,,,,,1.24,1.84,3.54,1.5,1.67
June,,,,,,2.35,2.04,3.97,0.86,0.98
July,,,,,,4.46,2.76,3.15,1.72,4.07
August,,,,,,3.11,3.39,7.46,6.52,4.81
September,,,,,,5,3.74,6.02,0.4,5.67
October,,,,,,1.51,3.83,3.55,6.76,6.47
November,,,,,2.78,1.93,3.09,3.09,7.24,6.09
December,,,,,6.04,6.85,3.51,5.25,9.17,5.29
Total,,,,,,35.16,35.91,49.73,47,49.31
,,,,,,,,,,
1956 Station moved from St Eval Airfield (station terminated in Oct 1955),,,,,,,,,,
,,,,,,,,,,
Post 1960 known as ST MAWGAN SRC_ID 1405,,,,,,,,,,
1955-2008,,,,,,,,,,
