"ST. MAWGAN AIRFIELD",,,,,,,,,,,,
Grid ref,SW873642,Long,-4.996778,Lat,50.439013,,,,,,,
Station no,1883/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,-999.00,,5.29,3.13,4.84,5.36,3.63,,
February,,,,-999.00,,0.84,4.47,5.35,0.54,4.02,,
March,,,,-999.00,,1.90,3.69,2.45,4.53,3.02,,
April,,,,-999.00,,0.68,0.42,1.06,2.40,3.59,,
May,,,,-999.00,,1.24,1.84,3.54,1.50,1.67,,
June,,,,-999.00,,2.35,2.04,3.97,0.86,0.98,,
July,,,,-999.00,,4.46,2.76,3.15,1.72,4.07,,
August,,,,-999.00,,3.11,3.39,7.46,6.52,4.81,,
September,,,,-999.00,,5.00,3.74,6.02,0.40,5.67,,
October,,,,-999.00,,1.51,3.83,3.55,6.76,6.47,,
November,,,,-999.00,-999.00,1.93,3.09,3.09,7.24,6.09,,
December,,,,-999.00,-999.00,6.85,3.51,5.25,9.17,5.29,,
Total,,,,-999.00,,35.16,35.91,49.73,47.00,49.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,35.16,35.91,49.73,47.00,49.31,,
Difference,NaN,NaN,NaN,-999.00,NaN,0.00,-0.00,-0.00,0.00,0.00,,
