DUNFORD-BRIDGE-SWINER-CLOUGH-MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE126028,Long,-1.8114261,Lat,53.521721,Elevation,1503,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3164/1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.1,9.35,,5.3,5.8,9,11.95,8.55,9.45,7.25,16.25,5.8,5.45,9.75,9.8,3.7,5.65,6.45,9.4,5.95,7.45,8.85,9.95
February,,,,,,,,3.7,6.6,,7.5,2.1,5.6,4.2,8.45,10.75,-999,5.85,4.55,10.85,8.2,3.35,4,7.05,-999,4.05,6.25,9.1,0.8,5.65
March,,,,,,,,2.55,4.55,5.6,7.65,4.9,3.05,1.3,2.1,3.25,-999,2.85,2.6,3.6,8,4.05,4.15,4.3,-999,2.5,5.1,4.7,2.95,2.75
April,,,,,,,,0.9,3.6,4.95,4.2,2.85,4.15,4.1,3.45,2.55,6.05,3.1,6.65,5.9,4.25,4.05,4.4,1.25,3,3.1,0.5,2.2,6.4,4.2
May,,,,,,,,5.1,2.45,0.85,4.25,4.3,3.65,4.35,4.55,2.95,4.1,2.45,3.1,3.25,4.35,2.8,3.15,5.85,6.2,1.6,2,4.75,1.95,2.7
June,,,,,,,,5.5,3.45,0.8,2.1,1.3,5.1,4.2,5.15,4.85,3.6,6.5,1.3,2.95,1.4,3.75,4.45,3.5,4.85,3.25,2.05,6.05,2,2.8
July,,,,,,,,4.9,9.45,5.55,2.15,6.6,3.4,3.85,2.15,6.1,3.05,2.55,3.35,4.15,4.35,3.2,9.1,8.35,1.6,8.9,5.9,6.1,5.3,8.6
August,,,,,,,,5.55,2.2,2.95,8.25,6.7,8.1,6.05,4.05,6.55,0.05,5.9,4.3,5.5,6.55,4.8,6.15,8.3,1.55,12.75,8,5,1.1,6.15
September,,,,,,,,2.95,2.55,6,0.9,4.1,6.05,7.1,3.75,9.3,3.15,3.25,2.35,9.95,3.8,6.9,4.2,7.9,,5.45,8,5.75,0.35,4.5
October,,,,,,,,13.75,3.95,6,7.5,9.85,3.45,7.1,9.7,2.4,1.65,4.05,5.5,4.25,1.3,7.95,3.2,11.35,4.1,4.2,8.35,5.75,5.8,8.3
November,,,,,,,,6.75,10.75,10.5,4.75,1.95,5.4,11.45,1.15,11.35,10.25,3.55,10.95,9,13.65,4.4,6.45,10.3,2.9,3.2,3.8,1.85,7.4,9
December,,,,,,,,6.4,6.5,7.1,4.5,5.7,3.55,7.4,4.65,5.5,8.55,5.65,14.25,4.25,12,6,3.4,14.75,8.15,8.7,8.35,6.55,11.5,8.85
Total,,,,,,,,67.15,65.4,,59.05,56.15,60.5,73.05,57.7,75,58.15,61.95,64.7,69.1,77.6,61.05,56.35,88.55,,67.1,64.25,65.25,54.4,73.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Swiners Clough Moss at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 1941 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/Mar 1955 combined readings is 10.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
