DUNFORD BRIDGE (SWINE CLOUGH MOSS),,,,,,,,,,,,
Grid ref,SE126028,Long,-1.811426,Lat,53.521721,,,,,,,
Station no,3164/1/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.75,9.80,3.70,5.65,6.45,9.40,5.95,7.45,8.85,9.95,,
February,8.20,3.35,4.00,7.05,4.60,4.05,6.25,9.10,0.80,5.65,,
March,8.00,4.05,4.15,4.30,5.60,2.50,5.10,4.70,2.95,2.75,,
April,4.25,4.05,4.40,1.25,3.00,3.10,0.50,2.20,6.40,4.20,,
May,4.35,2.80,3.15,5.85,6.20,1.60,2.00,4.75,1.95,2.70,,
June,1.40,3.75,4.45,3.50,4.85,3.25,2.05,6.05,2.00,2.80,,
July,4.35,3.20,9.10,8.35,1.60,8.90,5.90,6.10,5.30,8.60,,
August,6.55,4.80,6.15,8.30,1.55,12.75,8.00,5.00,1.10,6.15,,
September,3.80,6.90,4.20,7.90,3.25,5.45,8.00,5.75,0.35,4.50,,
October,1.30,7.95,3.20,11.35,4.10,4.20,8.35,5.75,5.80,8.30,,
November,13.65,4.40,6.45,10.30,2.90,3.20,3.80,1.85,7.40,9.00,,
December,12.00,6.00,3.40,14.75,8.15,8.70,8.35,6.55,11.50,8.85,,
Total,77.60,61.05,56.35,88.55,52.25,67.10,64.25,-999.00,54.40,73.45,,
Calc annual,77.60,61.05,56.35,88.55,52.25,67.10,64.25,65.25,54.40,73.45,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1064.25,0.00,0.00,,
