MANCHESTER (BURNAGE SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,SJ864924,Long,-2.2061422,Lat,53.428211,Elevation,147,ft,,,,,,,,,,,,
Station no,2930/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.41,3.43,2.97,3.78,4.29,1.7,0.56,3.02,5.25,4.62,2.61,4.55,,,,
February,,,,,2.77,1.75,4.3,1.02,3.18,1.65,2.92,1.27,2.66,1.48,3.03,6.04,,,,
March,,,,,1.07,1.21,1.22,1,1.63,2.79,2.29,2.16,0.9,0.48,0.94,1.11,,,,
April,,,,,2.62,0.95,2.42,0.3,2.09,1.77,1.25,1.39,1.4,2.28,2.05,1.51,,,,
May,,,,,0.72,0.43,2.03,3.15,1.66,1.19,1.35,4.66,2.2,4.27,4.15,1.1,,,,
June,,,,,3.27,2.72,1.23,3.07,2.78,1.25,0.67,0.8,2.74,2.63,3.64,2.99,,,,
July,,,,,1.17,3.73,2.27,4.01,6.32,3.84,2.79,4.08,1.79,2.95,1.06,5.14,,,,
August,,,,,0.73,1.95,1.25,1.79,,1.56,4.79,4.28,4.54,4.11,2.88,,,,,
September,,,,,5.36,4.23,1.04,1.46,,2.98,0.38,1.83,4.26,3.94,2.72,,,,,
October,,,,,4.97,3.24,1.35,5.77,,3.39,3.87,5.34,3.17,4.18,5.79,,,,,
November,,,,,4.91,2.94,1.88,4.05,,6,2.17,0.92,2.47,6.08,0.45,,,,,
December,,,,,2.86,3.18,2.39,3.53,,2.98,1.46,3.62,1.71,2.36,2.1,,,,,
Total,,,,,31.86,29.76,24.35,32.93,,31.1,24.5,33.37,33.09,39.38,31.42,,,,,
