"ASHGROVE, ELGIN",,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 22568 62231,Long,-3.298786,Lat,57.643327,Elevation,33,ft,,,,,,,,,,,,
Station no,RR3114,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,1.79,3.77,0.67,3.65,2.07,4.56,,1.75,0.73,0.7,3.14,1.15,1.77,3.36,0.84,,,
February,,,1.48,0.87,1.79,2.5,2.01,2.12,,2.96,1.43,1.47,0.68,1.34,0.75,0.47,3.17,,,
March,,,2.56,1.16,2.26,1.92,2.33,1.78,,1.72,0.83,0.71,2,1.82,2.45,1.21,4.99,,,
April,,,1.1,2.38,1.24,0.63,0.82,3.01,,2.14,1.1,2.49,1.53,1.72,0.76,1.27,2.32,,,
May,,,3.61,1.43,2.47,1.46,1.66,1.59,,2.23,1.17,0.74,3.51,3.2,1.36,1.67,1.17,,,
June,,,4.14,1.86,1.49,0.34,1.18,2.45,,1.65,1.49,1.39,5.64,1.81,1.19,1.46,1.87,,,
July,,,3.45,0.75,3.48,3.41,2.74,1.81,,0.91,1.18,4.49,2,3.6,2.58,5.51,1.12,,,
August,,,3.89,4.32,1.68,3.13,2.35,1.76,,2.01,1.71,2.76,2.84,3.15,5.19,2.57,1.74,,,
September,,,1.98,4.1,3.59,0.71,2.67,2.47,,3.75,2.89,3.88,4.42,5.16,1.72,3.94,3.6,,,
October,,1.63,2.31,1.53,4.45,2.99,1.91,3.06,,3.74,1.45,1.08,4.55,3.38,2.39,2.82,2.67,,,
November,,5.75,1.62,1.5,2.84,2.39,2.67,0.73,,2.6,2.59,2.83,3.43,3.48,2.41,2.69,2.02,,,
December,,1.27,1.7,3.42,1.91,0.61,4.07,2.45,,2.96,3.57,1.17,1.6,1.83,2.48,3.47,3.61,,,
Total,,,29.63,27.09,27.87,23.74,26.48,27.79,,28.42,20.14,23.71,35.34,31.64,25.05,30.44,29.12,,,
