URCHANY RESERVOIR,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 87794 50423,Long,-3.875529,Lat,57.529998,Elevation,291,ft,,,,,,,,,,,,
Station no,5686/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.52,1.49,2.08,1.44,3.44,3.51,3.05,3.25,0.65,1.29,2.65,0.89,,2.48,0.75,0.72,2.28,,
February,,0.53,3.08,0.64,2.38,1.38,2.23,1.24,1.5,0.69,2.31,1.63,2.41,,1.81,1.8,0.37,1.66,,
March,,2.94,0.62,3.8,1.59,1,1.93,1.23,1.86,2.4,1.71,0.4,1.64,,0.6,0.89,2.18,1.12,,
April,,3.54,2.24,5.37,2.51,0.82,0.43,0.71,1.3,1.62,0.91,1.86,1.12,,1.01,1.24,1.33,3.44,,
May,,2.99,1.37,2.38,1.72,1.32,1.23,2.38,0.88,1.77,3.53,2.67,4.43,,2.84,0.88,1.04,2.83,,
June,,0.25,2.77,0.99,3.01,1.48,2.74,4.26,1.8,0.66,0.45,0.98,1.88,,2.7,3.33,4.02,7.08,,
July,,3.23,2.58,3.92,1.78,5.7,3.63,5.71,5.78,6.39,2.06,3.1,1.65,,3.56,6.35,2.7,2.74,,
August,,1.9,1.98,2.23,4.04,2.27,3.33,2.39,1.28,1.66,6.63,3.97,3.99,,3.5,5.44,0.06,6.88,,
September,,3.01,1,1,4.46,2.64,1.47,3.83,1.39,1.93,0.79,3.74,1.71,,2.1,3.23,3.07,2.75,,
October,,6.11,4.64,3.75,6.85,2.33,2.09,4.51,2.86,2.79,4.26,3.93,3.9,,3.74,0.27,0.77,1.31,,
November,,4.55,0.7,1.35,2.83,1.46,0.6,3.84,1.72,4.59,2.54,0.74,1.8,,0.21,3.11,4.56,1.63,,
December,,2.19,0.3,2.36,1.48,2.66,1.72,1.15,2.81,3.25,2.48,2.24,1.08,,2.12,0.84,2.55,1.89,,
Total,,34.76,22.77,29.87,34.09,26.5,24.91,34.3,26.43,28.4,28.96,27.91,26.5,,26.67,28.13,23.37,35.61,,
,,,,,,,,,,,,,,,,,,,,
BR 1944 NP low Deleted,,,,,,,,,,,,,,,,,,,,
BR 1949 NP too much est Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5686/5,,,,,,,,,,,,,,,,,,,
Midas,14703,,,,,,,,,,,,,,,,,,,
Hyd stn,807125,,,,,,,,,,,,,,,,,,,
