ACHILTIBUIE (OLD DORNIE),,,,,,,,,,,,,,,,,,,,
Grid ref,NB 98551 11495,Long,-5.415002,Lat,58.046683,Elevation,80,ft,,,,,,,,,,,,
Station no,5783/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.59,1.32,0.85,3.02,2.87,4.85,3.07,,,,,
February,,,,,,,,,4.28,1.89,3.25,2.11,4.43,2.54,2.47,,,,,
March,,,,,,,,,2.65,2.59,1.12,1.78,1.37,3.5,3.71,,,,,
April,,,,,,,,,3.17,2.29,1.75,1.24,3.64,1.12,1.45,,,,,
May,,,,,,,,,1.27,1.51,0.57,1.04,1.42,2.68,2.03,,,,,
June,,,,,,,,,1.56,1.86,0.67,2.35,1.88,4.09,3.05,,,,,
July,,,,,,,,,5.59,4.92,2.24,3.76,3.01,1.07,2.62,,,,,
August,,,,,,,,,1.62,3.99,6.04,5.64,3.9,3.3,2.93,,,,,
September,,,,,,,,,1.75,3.86,1.56,4.6,3.81,3.35,4.92,,,,,
October,,,,,,,,,1.36,2.95,4.18,5.25,4.57,6.32,0.77,,,,,
November,,,,,,,,,5.24,5.53,2.95,2.48,4.69,3.68,,,,,,
December,,,,,,,,,1.92,3.95,3.23,2.11,1.73,4.52,,,,,,
Total,,,,,,,,,36,36.66,28.41,35.38,37.32,41.02,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1942 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1943 NP Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5783/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
