LLYN-TECWYN-UCHAF,,,,,,,,,,,,,,,,,,,,
Grid ref,SH631380,Long,-4.037754,Lat,52.921915,Elevation,450,ft.,,,,,,,,,,,,
Station no,4330/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,4,2.5,4.24,,4.9,,4.35,2.31,8.8,10.3,6.43,,,,,,
February,,,,1,5.5,2.58,,1.2,5.42,6.11,4.78,2.98,5.68,2.9,,,,,,
March,,,,3,1.8,2.95,,2.49,3.95,4.5,4.88,3.7,1.4,2.7,,,,,,
April,,,,3.2,4.8,1.5,,0.52,3.91,5.4,3.17,2.4,5,3.8,,,,,,
May,,,,5.3,1.55,1.79,,1.93,0.29,1.94,4.23,7.4,7.35,4.32,,,,,,
June,,,,2.5,8.04,7.3,,4.21,4.3,1.62,1.24,0.14,7.2,3.4,,,,,,
July,,,,1.3,1.3,7.55,,4.92,9.23,4.47,4.23,6.47,5.71,4.91,,,,,,
August,,,,7,3.3,4.1,,2.53,4.42,1.27,7.4,6.15,7.9,4.5,,,,,,
September,,,1.1,4.7,8.24,5.74,,1.3,1.57,6.2,2.23,7.66,5.7,6.8,,,,,,
October,,,7.61,8.5,7.5,3.7,,4.8,4.8,5.95,9.9,9.39,6.45,9.55,,,,,,
November,,,2.3,1.9,6.25,6.37,,4.9,10.21,9.37,4.93,1.45,4.75,10.8,,,,,,
December,,,1.5,7.7,2.68,5.19,,1.63,3.88,6.57,3.15,8.71,3.55,6.7,,,,,,
Total,,,,50.1,53.46,53.01,,35.33,,57.75,52.45,65.25,70.99,66.81,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is a tank labelled as being the observer's, Port Madoc Water Company.",,,,,,,,,,,,,,,,,,,,
"Altitudes match but gauge is noted as being 15 ft high on roof, presumably of the tank",,,,,,,,,,,,,,,,,,,,
Church is 500 yards S not 200 as 1940s sheet and is 1 mile W not E as per 1940s sheet.,,,,,,,,,,,,,,,,,,,,
