REIGATE-HILL-TOP-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ259494,Long,-0.19747,Lat,51.2303,Elevation,375,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,117/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,2.08,2.94,2.24,2.18,1.28,5.69,5.86,3.69,5.53,2.6,2.6,,6.07,,,,,,,
February,,,,,,,,,,,,2.11,0.55,2.69,0.33,3.5,1.84,4.59,0.98,1.66,2.7,3.13,,1.85,,,,,,,
March,,,,,,,,,,,,0.33,1.52,3.67,2.51,0.45,1.63,3.74,0.41,1.49,3.32,3.8,,0.44,,,,,,,
April,,,,,,,,,,,,4.6,2.5,0.63,2.64,3.31,1.82,3.05,0.14,2.97,2.27,1.57,,1.09,,,,,,,
May,,,,,,,,,,,,2.98,4.38,2.28,0.55,1.63,0.78,2.4,1.95,1.46,1.78,1.81,3.63,3.14,,,,,,,
June,,,,,,,,,,,,1.18,1.45,1.93,0.99,4.86,3.45,1.98,0.63,1.26,0.29,2.22,0.12,,,,,,,,
July,,,,,,,,,,,,2.95,2.54,1.69,2.78,0.89,3.74,1.58,2.09,2.77,2.86,3.03,2.19,,,,,,,,
August,,,,,,,,,,,,5.11,0.74,0.82,1.87,4.19,0.63,1.04,1.71,2.73,0.14,4.38,2.78,,,,,,,,
September,,,,,,,,,,,,1.89,1.96,2.94,1.69,4.08,2.29,2.11,2.66,1.9,1.74,0.42,2.66,,,,,,,,
October,,,,,,,,,,,,0.63,6.42,2.04,2.16,4.12,1.93,3.31,3.71,6.96,3.44,1.31,4.15,,,,,,,,
November,,,,,,,,,,,4.85,3.88,1.41,0.95,3.12,5.76,4.56,2.13,4.18,5.78,8.19,3.63,1.93,,,,,,,,
December,,,,,,,,,,,2.31,0.81,0.65,0.56,7.8,4.11,3.36,4.24,4,1.93,1.85,3,3.37,,,,,,,,
Total,,,,,,,,,,,,28.55,27.06,22.44,28.62,38.18,31.72,36.03,26.15,36.44,31.18,30.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at 12 Smoke Lane Opposite Hill Top Road which is a small cul-de-sac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation of Hill Top Rd too high near the junction with Smoke Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is for 12 Smoke Lane which matches elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge might have been at S end of Hill Top Rd 150yds S of NGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read 9am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan-Apr Estimated from nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
