"BIRMINGHAM BOTANIC GARDENS",,,,,,,,,,,,
Grid ref,SP047854,Long,-1.932246,Lat,52.466521,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.43,1.33,1.03,1.92,2.46,1.07,3.89,,,,,
February,3.98,1.18,1.58,1.11,3.97,0.60,2.05,,,,,
March,0.67,1.74,1.56,4.54,1.59,3.33,1.24,,,,,
April,0.98,1.84,2.43,1.71,1.07,1.97,1.18,,,,,
May,2.01,1.16,2.45,2.76,2.28,0.52,2.72,,,,,
June,2.39,2.38,2.52,1.76,0.41,1.82,2.83,,,,,
July,1.96,2.19,1.29,2.08,2.92,2.28,0.91,,,,,
August,2.53,2.04,4.61,4.71,1.87,4.27,0.89,,,,,
September,1.39,0.73,1.64,2.57,1.18,1.09,1.09,,,,,
October,2.98,1.64,2.22,5.05,1.00,1.50,4.64,,,,,
November,2.31,1.06,2.07,1.92,1.45,2.59,2.71,,,,,
December,4.20,4.54,1.73,1.51,2.04,1.05,1.89,,,,,
Total,28.83,21.83,25.13,31.64,22.24,22.09,26.04,,,,,
Calc annual,28.83,21.83,25.13,31.64,22.24,22.09,26.04,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
