BIRMINGHAM BOTANIC GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP047854,Long,-1.932246,Lat,52.466521,Elevation,505,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.52,4.39,1.61,1.49,4.16,2.55,2.12,2.82,1.66,3.46,1.52,1.49,0.6,0.67,2.21,3.17,2.09,1.4,2.85,2.33,0.76,0.66,2.67,2.06,1.9,1.53,1.42,4.15,1.03,2.14,0.83,2.98,3.43,1.33,1.03,1.92,2.46,1.07,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.16,2.29,1.8,1.71,3.19,0.55,2.4,1.28,2.84,1.74,1.17,2.34,2.81,2.49,2.45,2.71,1.37,2.11,0.88,0.46,0.62,1.97,0.64,0.08,1.41,2.51,2.07,0.05,0.64,2.51,1.36,2.01,3.98,1.18,1.58,1.11,3.97,0.6,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.23,1.77,1.73,0.84,2.15,2.52,0.98,0.69,2.42,2.12,0.68,0.89,1.29,1.95,1.8,1.19,1.86,1.05,2.74,1.48,2.52,2.74,1.49,1.19,0.72,0.51,0.91,1.86,2.35,2.91,0.83,1.13,0.67,1.74,1.56,4.54,1.59,3.33,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.08,1.68,1.09,2.67,3.47,1.08,1.57,1.01,2.75,2.36,2.04,2.68,1.53,0.71,3.93,0.95,1.65,2.47,1.98,1.07,1.98,3.42,0.74,2.04,1.12,0.37,1.7,2.18,1.31,1.81,1.8,2.27,0.98,1.84,2.43,1.71,1.07,1.97,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.56,5.48,0.9,2.09,2.52,2.36,2.36,2.22,0.5,3.05,5.23,3.32,1.69,1.36,2.25,1.55,0.94,2.45,6.35,2.03,0.7,3.68,2.23,3.51,1.93,2.17,2.25,0.86,0.29,1.59,3.76,2.01,2.01,1.16,2.45,2.76,2.28,0.52,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.37,1.14,0.95,3.77,4.73,3.73,0.96,3.98,2.23,0.98,3.42,5.09,2.39,1.52,3.81,4.03,2.35,3.98,1.12,2.2,2.26,0.51,1.87,3.29,2.55,0.99,2.14,0.85,1.7,3.85,1.05,3,2.39,2.38,2.52,1.76,0.41,1.82,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.1,0.66,1.62,4.67,4.24,2.35,0.71,7.76,1.78,4.49,0.63,3.92,4.72,1.71,3.68,3.53,2.34,0.43,3.16,0.9,5.4,1.59,2.27,2.11,2.4,1.77,3.65,3.08,1.17,0.85,1.14,1.17,1.96,2.19,1.29,2.08,2.92,2.28,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.42,1.15,1.86,0.65,3.46,3.25,2.46,1.63,2.75,4.27,8.11,6.02,0.57,4.19,2.16,0.78,1.3,2.36,1.59,2.72,3.1,2.87,3.3,3.53,3.37,2.1,2.12,2.71,1.78,3.92,2.49,1.3,2.53,2.04,4.61,4.71,1.87,4.27,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.83,4.23,1.08,6.15,2.21,1.64,3.78,3.14,4.11,2.38,2.95,3.48,3.92,1.57,2.5,4.82,1,3.29,1.95,2.47,1.35,2.24,1.43,1.58,2.5,1.57,2.08,0.52,4.3,2.2,0.53,2.91,1.39,0.73,1.64,2.57,1.18,1.09,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.12,1.34,4.51,1.74,4.49,1.98,2.87,6.94,1.57,1.61,2.99,0.88,5.71,2.64,5.18,2.27,1.54,4.78,3.56,2.07,0.42,3.59,1.48,4.92,2.64,2.22,3.44,2.52,2.51,1.19,2.69,2.36,2.98,1.64,2.22,5.05,1,1.5,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,1.8,1.69,1.82,0.54,3.83,1.71,3.05,3.34,3.76,2.52,2.84,1.07,1.76,2.6,4.13,3.99,1.31,3.03,1.68,1.7,4.49,1.02,3.17,2.56,1.53,1.44,2.21,3.2,1.17,1.99,2.15,1.21,2.31,1.06,2.07,1.92,1.45,2.59,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,6.13,3.35,1.9,1.23,3.71,0.56,1.97,1.28,5.46,1.51,1.82,0.8,3.15,2.39,3.13,0.93,2.03,0.99,3.72,1.57,2.21,1.73,0.68,2.64,1.23,2.57,1.71,1.87,3.2,2.1,1.97,1.86,4.2,4.54,1.73,1.51,2.04,1.05,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,29.32,29.17,20.87,27.55,42.16,24.28,25.23,36.09,31.83,30.49,33.4,31.98,30.14,23.8,37.23,29.92,19.78,28.34,31.58,21,25.81,26.02,21.97,29.51,23.3,19.75,25.7,23.85,21.45,27.06,20.6,24.21,28.83,21.83,25.13,31.64,22.24,22.09,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
