HAYFIELD-CLUTHER-ROCKS-NEW-SITE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK074877,Long,-1.8902064,Lat,53.386093,Elevation,1700,ft.,,,,,,,,,,,,
Station no,2643/7/5/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.69,6.75,5.82,8.19,,,,6.85,,,,,,,
February,,,,,,3.62,9.53,2.24,4.09,,8.71,,3.38,,,,,,,
March,,,,,,4.15,9.53,2.67,2.91,3.9,,4.68,1.59,,,,,,,
April,,,,,3.33,2.24,5.1,0.69,3.56,,,1.86,2.36,,,,,,,
May,,,,,0.13,1.52,3.4,4.95,2.5,1.3,,4.37,3.3,,,,,,,
June,,,,,4.2,4.34,2.38,5.04,3.07,1.49,2.06,1.58,4.03,,,,,,,
July,,,,,2.63,7,5.33,6.65,8,6,4.37,6.15,1.96,,,,,,,
August,,,,,1.91,3.6,1.3,3.47,2.39,2.79,7.03,5.06,5.21,,,,,,,
September,,,,,7.49,8.73,1.72,3.84,1.9,,0.98,3.97,6.02,,,,,,,
October,,,,,10.35,6.5,3.35,8.13,4.84,4.96,,8.04,3.61,,,,,,,
November,,,,,7.26,6.52,2.59,6.3,7.69,9.94,4.63,1.88,4.84,,,,,,,
December,,,,,6.12,7.3,4.21,6.5,3.55,5.7,,,2.75,,,,,,,
Total,,,,,,61.21,55.19,56.3,52.69,,,,45.9,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Cluther Rocks at the the stated altittude. NGR could be +/-200m. The new site for the gauge is 100yards NE of Old Site but same NGR has been used because of the inaccuracy of determining the actual locations, plus the terrain slopes upwards in the NE direction but the stated altitude is 30 ft. lower!",,,,,,,,,,,,,,,,,,,,
