"SHEEPSTON VICARAGE",,,,,,,,,,,,
Grid ref,SX559676,Long,-4.032804,Lat,50.490439,,,,,,,
Station no,RR1523,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.10,,,,,,,,3.45,2.91,,
February,8.76,,,,,,,,3.73,0.89,,
March,3.62,,,,,,,,5.77,9.12,,
April,2.43,,,,,,,,3.95,3.93,,
May,2.68,,,,,,,,3.37,1.73,,
June,6.24,,,,,,,,1.36,3.34,,
July,2.00,,,,,,,,4.59,6.55,,
August,3.65,,,,,,,,5.79,3.56,,
September,1.86,,,,,,,,3.27,1.98,,
October,2.41,,,,,,,10.94,2.43,13.14,,
November,7.95,,,,,,,5.41,3.32,2.25,,
December,11.49,,,,,,,9.44,7.43,9.61,,
Total,63.19,,,,,,,63.00,48.46,59.01,,
Calc annual,63.19,0.00,0.00,0.00,0.00,0.00,0.00,25.79,48.46,59.01,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,37.21,0.00,0.00,,
