OVER DARWEN SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD689242,Long,-2.472684,Lat,53.713284,Elevation,445,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,3.89,4.11,2.18,6.85,1.75,,2.59,5.23,,4.68,5.26,3.68,6.83,4.09,3.1,3.38,,4.99,,,,,,,,,,
February,,,,5.23,4.59,2.5,4.18,2.51,,2.28,4.77,,2.44,2.01,3.56,6.42,4.61,1.31,6.22,,3.26,,,,,,,,,,
March,,,,5.4,2.57,3.65,3.99,3.97,,3.49,1.12,,7.49,5.99,5.5,2.11,1.73,2.48,1.78,,5.06,,,,,,,,,,
April,,,,2.86,3.1,3.79,2.54,2.14,,3.93,3.42,,0.99,6.28,1.92,2.54,4.19,2.39,1.48,,5.82,,,,,,,,,,
May,,,,3.49,1.9,0.77,4.3,4.57,,3.05,4.72,,2.57,4.12,2.37,1.54,2.88,1.78,2.54,,6.56,,,,,,,,,,
June,,,,1.48,2.42,0.51,1.31,8.25,,3.89,3.55,,6.11,3.06,2.39,1.98,2.87,2.53,2.48,,3.43,,,,,,,,,,
July,,,,3.53,1.54,3.3,2.41,3.42,,5.77,5.42,,7.15,1.47,4.8,4.01,2.55,2.04,3.43,,5.58,,,,,,,,,,
August,,,,5.42,4.63,4.46,3.4,5.83,,3.02,6.76,,7.89,2.43,3.16,5.56,2.95,6.72,5,,2.48,,,,,,,,,,
September,,,,5.18,1.01,3.14,2.38,1.55,,2.7,0.67,,2.15,1.98,4.72,0.87,3.84,2.88,13.21,,3.25,,,,,,,,,,
October,,,,9.9,3.6,4.34,5.66,3.44,,6.47,3.8,,5.77,1.94,2.41,1.62,9.51,9.89,5.01,,1.63,,,,,,,,,,
November,,,,3.77,4.11,5.13,4.53,2.91,,1.71,5.96,,4.29,5.57,6.72,2,3.17,6.03,3.51,,2.43,,,,,,,,,,
December,,,,3.87,3.01,1.35,4.29,4.94,,7.18,5.1,,4.85,3.9,6.62,9.3,3.95,2.99,10.67,,2.86,,,,,,,,,,
Total,,,,54.02,36.59,35.12,45.84,45.28,,46.08,50.52,,56.38,44.01,47.85,44.78,46.34,44.14,58.71,,47.35,,,,,,,,,,
