FINGLEN NO. 2,,,,,,,,,,,,
Grid ref,NN627445,Long,-4.236353,Lat,56.572299,,,,,,,
Station no,5557/3/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,-999.00,4.48,13.54,7.85,3.55,7.65,,
February,,,,,-999.00,2.03,7.70,6.40,2.70,8.10,,
March,,,,,-999.00,4.22,6.33,1.95,6.80,4.00,,
April,,,,,2.80,2.25,2.90,2.87,6.58,8.05,,
May,,,,,4.89,4.35,2.85,5.60,2.10,5.10,,
June,,,,,1.98,6.73,2.25,4.95,3.35,3.45,,
July,,,,,1.15,7.03,6.80,5.77,8.33,5.08,,
August,,,,,1.50,7.28,7.62,6.55,4.15,4.64,,
September,,,,,4.00,8.11,4.03,7.53,1.30,4.91,,
October,,,,,4.91,3.78,6.38,7.10,7.80,8.95,,
November,,,,,4.50,2.61,2.40,1.65,11.29,10.85,,
December,,,,,11.38,13.32,11.25,10.77,14.34,8.71,,
Total,,,,,-999.00,66.19,74.05,68.99,72.29,79.49,,
Calc annual,0.00,0.00,0.00,0.00,37.11,66.19,74.05,68.99,72.29,79.49,,
Difference,NaN,NaN,NaN,NaN,-1036.11,0.00,0.00,0.00,0.00,-0.00,,
