EINGLEN NO.2 (NEW SITE),,,,,,,,,,
Grid ref,NN625438,Long,-4.239234,Lat,56.565956,Elevation,1550,ft,,
Station no,5557/3/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.3,3.62,6.77
February,,,,,,,,4.5,3.15,5.9
March,,,,,,,,1.74,7.49,3.95
April,,,,,,,,3.07,6.29,7.9
May,,,,,,,,6.3,2.42,5.3
June,,,,,,,,5.76,3.2,3.59
July,,,,,,,,5.41,8.76,4.33
August,,,,,,,,5.16,4.5,5.21
September,,,,,,,,8.9,1.05,5.77
October,,,,,,,,7.16,8.1,9.4
November,,,,,,,,1.8,11.61,11.35
December,,,,,,,,12,16.56,8.79
Total,,,,,,,,70.1,76.75,78.26
,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5557/3/9,,,,,,,,,
Midas,15141,58  to 69,,,,,,,,
Hyd stn,863076,,,,,,,,,
