FINGLEN NO. 2,,,,,,,,,,
Grid ref,NN627445,Long,-4.236353,Lat,56.572299,Elevation,1430,ft,,
Station no,5557/3/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.48,13.54,7.85,3.55,7.65
February,,,,,,2.03,7.7,6.4,2.7,8.1
March,,,,,,4.22,6.33,1.95,6.8,4
April,,,,,2.8,2.25,2.9,2.87,6.58,8.05
May,,,,,4.89,4.35,2.85,5.6,2.1,5.1
June,,,,,1.98,6.73,2.25,4.95,3.35,3.45
July,,,,,1.15,7.03,6.8,5.77,8.33,5.08
August,,,,,1.5,7.28,7.62,6.55,4.15,4.64
September,,,,,4,8.11,4.03,7.53,1.3,4.91
October,,,,,4.91,3.78,6.38,7.1,7.8,8.95
November,,,,,4.5,2.61,2.4,1.65,11.29,10.85
December,,,,,11.38,13.32,11.25,10.77,14.34,8.71
Total,,,,,,66.19,74.05,68.99,72.29,79.49
,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P Aug Sep Estd,,,,,,,,,,
,,,,,,,,,,
Station no,5557/3/8,,,,,,,,,
Midas,15142,55 to 78,,,,,,,,
Hyd Stn,863081,,,,,,,,,
