NORTH-WALSHAM-WORSTEAD-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TG272307,Long,1.3709021,Lat,52.825904,Elevation,120,ft,,,,,,,,,,,,
Station no,1437/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.49,3.55,2.35,4.2,1.21,1.48,3.36,4.15,2.06,2.16,1.81,1.28,4.17,0.98,1.16
February,,,,,,2.6,2.63,0.7,0.86,1.75,1.83,1.2,0.59,1.75,1.58,3.36,2.27,0.64,0.74,3.1
March,,,,,,0.61,2.91,0.34,2.34,2.66,2.95,1.43,0.87,0.79,1.74,0.68,4.72,0.61,0.82,0.36
April,,,,,,1.26,2.53,0.48,2.56,1.64,0.92,0.6,0.71,1.72,2.87,0.81,2.2,1.06,2.47,2.14
May,,,,,,1.35,1.92,1.99,0.77,1.03,2.28,3.05,1.86,1.42,1.86,1.45,1.02,3.79,1.97,1.96
June,,,,,,2.98,0.99,0.78,1.71,0.38,0.75,2.4,1.53,1.46,1.68,3.09,0.68,2.96,0.83,2.17
July,,,,,,5.12,2.3,1.88,1.22,2.9,1.47,3.63,0.84,1.77,1.4,4.9,1.33,1.7,1.43,4.43
August,,,,,,1.77,0.77,1.42,2.02,1.15,3.47,1.76,1.68,1.1,2.61,3.78,0.35,3.43,1.54,1.68
September,,,,,,3.35,2.83,2,0.83,1.1,0.32,1.96,2.2,3.82,1.34,3.42,0.69,2.12,1.53,3.1
October,,,,,,2.23,1.38,3.12,6.59,2.25,3.21,3.51,1.33,3.58,2.1,1.99,0.19,2.47,2.92,0.87
November,,,,,,2.75,2.77,1.81,3.91,5.42,2.46,3.46,3.35,5.25,1.3,4.3,1.43,0.94,2.52,4.29
December,,,,,,1.62,4.06,3.53,2.64,2.62,0.83,2.23,1.27,1.9,3.22,3.34,2.93,1.24,1.17,
Total,,,,,,28.13,28.64,20.4,29.65,24.11,21.97,28.59,20.38,26.62,23.86,32.93,19.09,25.13,18.92,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1950 Dec estimated,,,,,,,,,,,,,,,,,,,,
