NUTWELL-PUMPING-STATION,,,,,,,,,,
Grid ref,SE633031,Long,-1.0467354,Lat,53.520768,Elevation,22,ft.,,
Station no,3111/5/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.15,2.15,1.67,4.37
February,,,,,,,1.66,3.41,0.11,1.84
March,,,,,,,0.95,1.83,0.69,1.48
April,,,,,,,0.16,0.35,2.24,0.7
May,,,,,,,0.99,2.19,0.36,0.94
June,,,,,,,1.91,4.18,0.7,0.7
July,,,,,,,5.79,4.97,1.63,2.25
August,,,,,,,3.01,2.25,0.29,3.4
September,,,,,,,3.66,1.52,0,2.46
October,,,,,,,1.19,1.81,1.76,5.31
November,,,,,,,2.18,1.41,2.74,3.42
December,,,,,,,1.65,2.9,2.44,1.78
Total,,,,,,,24.3,28.97,14.63,28.65
,,,,,,,,,,
NGR is from the 1950s record and is Nutwell Water Treatment Works. Altitudes match.,,,,,,,,,,
MIDAS src_id 3712 ends 1981,,,,,,,,,,
