PENRITH BLENCOWE SCHOOL/ENNIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY455327,Long,-2.8469044,Lat,54.686384,Elevation,601,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,3.34,6.24,8.54,5.02,6.45,1.83,7.03,4.17,1.34,0.9,0.46,2.86,5.86,7.64,2.74,5.75,2.89,1.7,2.25,5.75,3.15,2.48,1.45,6.17,2.53,,,,
February,,2.81,5.55,1.29,2.85,0.79,3.68,3.37,1.75,2.79,4,4.56,2.56,4.27,3.83,4.35,1.08,2.34,1.08,2.25,0.82,0.31,2.44,4.8,9.25,0.63,,,,
March,,2.94,2.47,2.03,3.25,1.27,4.71,2.94,2.2,3.31,1.62,3.9,3.58,2.51,3.61,2.67,3.19,2.02,2.48,1.56,2.86,1.88,0.85,1.59,3.02,3.52,,,,
April,,2.3,1.75,0.47,2.29,0.98,2.6,2.46,1.82,1.48,2.29,0.93,4.47,2.01,1.66,2.34,3.61,1.81,1.87,2.29,1.13,1.55,1.23,0.45,2.53,1.77,,,,
May,,1.19,1.95,1.66,1.77,2.35,1.02,2.7,4.01,2,1.28,2.73,2.13,0.88,2.66,2.68,5.18,2.05,2.51,3.29,2.69,1.49,3.72,1.78,3.9,0.67,,,,
June,,3.27,3.47,1.75,2.51,2.97,2.95,2.67,2.43,2.98,2.82,3.43,3.75,2.71,0.93,1.58,1.66,0.24,1.19,1.26,1.95,1.71,4.05,2.4,3.06,1.44,,,,
July,,3.53,3.24,3.78,2.35,3.95,2.39,4.69,0.74,4.06,5.66,3.81,4.5,4.61,5.66,1.56,5.73,2.29,5.76,1.94,2.87,5.63,1.8,3.18,3.11,6.25,,,,
August,,3.11,3.46,5.48,6.88,2.63,4.81,6.23,4.25,4.34,1.41,4.16,3.25,3.02,1.5,2.92,1.7,2.87,3.04,4.34,3.77,6.85,7.13,4.16,2.77,5.01,,,,
September,,3.79,6.55,2.57,6.24,3.85,3.67,1.91,4.77,2.5,5.12,2.99,2.02,4.85,3.79,4.39,4.72,4.3,0.89,2.16,3.48,5.91,5.82,3.36,0.44,1.36,,,,
October,,4,7.32,5.25,7.33,3.9,2.7,5.62,4.58,1.63,1.05,2.82,2.65,5.71,2.5,4.88,5.56,2.29,3.38,5.81,3.2,5.54,5.3,4.37,3.9,4.9,,,,
November,,1.34,5.84,2.76,3.31,3.66,2.61,8.58,2.46,1.43,5.83,6.3,6.28,5.01,2.21,2.11,3.41,3.3,6.16,1.62,5.92,4.25,2.78,2.7,4.4,4.97,,,,
December,,4.27,4.38,2.7,2.89,3.07,5.29,3.86,2.75,2.63,4.58,3.45,3.57,4.21,5.44,2.48,6.2,4.37,3.27,3.29,0.59,8.31,1.5,5.17,4.01,3.91,,,,
Total,,35.89,52.22,38.28,46.69,35.87,38.26,52.06,35.93,30.49,36.56,39.54,41.62,45.65,41.43,34.7,47.79,30.77,33.33,32.06,35.03,46.58,39.1,35.41,46.56,36.96,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 1896 gauge moved half a mile south to Ennim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
