ST MELLION (PENTILLIE CASTLE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX410646,Long,-4.241418,Lat,50.459624,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,4.67,4.84,,,,,3.66,4.29,3.53,9.7,9.55,5.04,5.76,0.11,6.51,5.28,1.82,3.5,8.4,3.04,,,,7.26,8.88,7.55,6.12,8.3,4.41,5.01,11.74,9.39,7.27,11.87,2.37,9.51,3.29,8.07,4.41,5.01,11.74,9.39,7.27,11.87,2.37,9.51,3.29,8.07,1.03,1.38,3.43,7.48,5.55,3.95,6.09,4.38,3.2,2.16,9.01,5.58,2.59,3.79,6.23,6.17,1.51,3.85,1.33,8.76,8.6,3.99,3.15,5.65,9.27,2.99,10.78,1.79,2.69,2.18,7.59,2.33,5.41,11.59,1.62,4.49,3.88,2.44,6.24,8.98,9.77,5.11,6.63,3.31,6.26,6.05,8.14,7.36,10.44,3.57,8.29,5.13,7,3.65,5.47,1.13,8.68,8.47,7.95,8.39,3.72,5.22,6.98,10.18,5.46,4.13,6.8,5.51,,,,,
February,,,2.86,2.75,,,,,7.6,2.74,4.83,1.98,2,2.45,1.2,2.85,4.22,2.88,2.55,3.28,1.86,4.56,,,,5.37,4.97,3.91,3.47,6.02,5.39,3.51,8.18,3.73,4.72,1.83,5.83,3.36,3.41,8.01,5.39,3.51,8.18,3.73,4.72,1.83,5.83,3.36,3.41,8.01,6.26,8.28,4,7.6,4.88,6.61,1.58,1.92,0.67,3.43,1.86,0.03,3.42,7.98,3.14,0.04,1.15,4.98,1.97,5.83,7.81,1.86,2.61,3.45,7.79,1.68,5.6,3.71,3.25,0.72,7.09,3.78,6.67,2.43,7.61,10.7,7.01,1.75,4.5,6.34,1.33,0.36,3.54,12.44,1.79,7.52,3.8,4.09,4.57,2.35,2.48,3.65,0.03,4.17,0.27,5.26,5.82,10.62,2.1,3.02,7.55,7.2,0.44,2.96,1.27,4.83,4.9,2.03,,,,,
March,,,4.51,2.32,,,,,5.41,1.56,1.57,7.53,1.65,1.47,1.16,3.08,2.57,5.05,1.63,3.45,4.39,4.71,,,,3.75,3.76,4.84,3.61,3.35,3.5,2.5,6.8,4.17,1.35,1.76,5.06,4.65,1.73,1.02,3.5,2.5,6.8,4.17,1.35,1.76,5.06,4.65,1.73,1.02,3.32,6.15,1.9,1.49,5.68,2.07,5.32,2.28,5.77,5.36,2.57,3.41,1.72,0.22,3.48,4.08,4.73,6.18,1.46,1.5,2.84,3.21,3.97,6.16,3.08,7.64,2.05,1.7,5.75,6.6,1.17,4.4,8.44,6.54,8.39,1.13,8.52,4.44,3.01,7.35,5.19,5.64,3.8,2.98,3.06,0.61,0.71,4.99,6.48,0.62,3.11,2.04,2.59,5.19,3.58,1.22,5.32,5.37,0.36,1.95,4.78,4.54,3.8,1.26,0.38,1.98,2.97,9.37,,,,,
April,,,1.21,4.14,,,,,4.68,3.62,7.4,2.03,1.2,3.84,0.34,0.85,6.4,5.5,5.38,3.6,1.76,1.2,,,,1.45,2.39,4.68,4.8,2.3,0.18,7.54,2.65,0.59,3.52,1.55,4.69,5.92,4.87,3.86,0.18,7.54,2.65,0.59,3.52,1.55,4.69,5.92,4.87,3.86,3.04,0.89,7.69,1.51,1.84,2.91,2.65,1.56,2.58,2.45,3.74,2.46,1.6,0.68,4.02,3.37,0.49,4.93,2.76,4.94,2.52,4.94,2.83,2.25,2.59,3.58,1.1,6.17,3.65,2.95,3.02,2.61,0.22,6,2.23,1.79,2.07,1.8,1.19,3.15,4.98,0.71,3.85,3.99,4.93,3.55,2.49,2.74,1.29,0.9,2.97,3.01,3.41,3.08,3.35,6.37,2.26,4.07,0.06,3.09,3.16,0.99,2.97,1.48,3.46,1.74,2.01,4.27,,,,,
May,,,2.35,4.72,,,,,1.62,4.55,3,1.25,3.85,1.78,3.12,4.62,3.93,2.08,3.88,2.02,4.96,1.08,,,,3.51,2.05,4.61,3.16,7.63,2.96,0.11,1.47,2.11,0.66,2.89,0.15,5.77,6.07,2.74,2.96,0.11,1.47,2.11,0.66,2.89,0.15,5.77,6.07,2.74,0.83,1.81,1.9,3.13,2.2,4.37,2.66,1.74,3.87,3.73,2.66,4.21,2.15,1.3,3.38,1.01,0,1.61,5.05,3.26,2.62,1.97,2.53,4.36,4.21,0.88,4.87,4.54,3.11,1.47,2.77,3.42,2.75,4.56,2.16,3.07,1.8,2.82,1.06,2.02,2.36,2.73,1.43,2.89,5.12,5.16,2.87,0.77,1.57,4.14,4.06,5.1,5.24,1.58,1.92,2.09,0.45,4.1,4.75,1.52,2.38,2.82,5.84,5.35,1.16,4.55,4.84,3.49,,,,,
June,,,1.56,4.04,,,,,5.83,1.35,3.44,2.49,5.59,4.87,3.32,4.8,2.56,1.63,1.55,0.37,9.92,3.42,,,,1.74,2.7,0.85,0.94,0.28,0.32,2.33,5.65,2.8,2.42,5.12,2.17,1.77,3.94,11.53,0.32,2.33,5.65,2.8,2.42,5.12,2.17,1.77,3.94,11.53,1.4,4.88,5.07,5.18,1.15,2.26,0.77,0.71,3.03,1.26,4.91,2.56,2.27,1.45,3.86,2.76,2.05,2.26,2.91,1.67,5.47,2.13,3.24,2.15,2.26,2.78,1.37,3.57,0.97,4.69,2.58,3.07,6.7,1.53,1.72,1.55,2.89,3.62,1.82,0.99,2.73,0.1,1.02,0.61,2.64,0.02,4.02,3.41,2.86,3.42,1.18,4.45,4.19,2.08,2.18,5.14,1.19,1.12,1.65,4.1,0.89,3.07,0.47,1.81,4.49,6.18,4.43,4.12,,,,,
July,,2.66,3.77,1.81,,,,,4.44,3.4,2.83,2.42,0.94,2.25,3.02,3.12,1.85,3.13,2.49,0.86,3.21,6.32,,,,3.95,1.45,7.63,0.72,1.13,1.66,6.8,4,4.98,2.2,5.35,2.17,5.33,1.88,5.71,1.66,6.8,4,4.98,2.2,5.35,2.17,5.33,1.88,5.71,5.28,3.14,6.98,4.82,4.15,0.56,4.71,2.64,8.47,5.63,7.37,4.12,1.56,4.74,4.95,5.7,2.81,1.11,0.53,1.56,1.55,1.75,3.39,6.25,5.1,0.71,1.86,2.38,4.08,4.23,4.72,1.38,3.38,0.25,7.21,5.95,1.8,2.25,5.15,1.68,5.7,1.21,4.65,1.21,6.89,3.14,2.54,7.26,2.13,1.84,3.33,5.68,3,3.04,0.69,0.45,10.56,2.67,4.19,8.64,3,1.03,3.24,3.79,4.78,3.5,2.2,3.61,,,,,
August,,4.45,3.25,5.57,,,,,6.77,3.62,4.75,2.9,4.86,3.15,1.67,1.66,2.74,0.71,3.49,5.45,8.69,2.5,,,,6.59,5.92,1.77,4.74,0.66,1.69,3.01,2.26,5.75,4.63,2.72,5.67,7.34,5.95,7.71,1.69,3.01,2.26,5.75,4.63,2.72,5.67,7.34,5.95,7.71,0.85,6.1,3.97,1.22,1.19,3.7,3.9,1.21,4.48,4.25,4.47,9.95,4.73,2.22,3.81,3.82,2.52,6.77,3.88,1,3.94,3.28,3.24,6.37,3.65,5.8,3.9,2.24,4.77,2.03,6.22,3.41,12.62,1.14,3.35,2.15,4.68,7.76,2.68,3.62,1.85,2.95,4.47,4.17,4.43,5.96,1.23,5.13,2.08,3.85,6.09,4.53,1.6,3.67,4.79,3.23,0.52,1.74,4.9,3.67,0.18,6.03,5.77,4.66,3.91,2.68,6.5,1.05,,,,,
September,,8.87,2.71,0.51,,,,,2.92,7.56,3.6,1.3,4.22,4.5,1.41,0.66,4.6,2.73,3.24,6.94,3.7,3.75,,,,0,12,2.47,5.33,6.71,2.26,6.29,4.45,2.32,7.38,6.98,8.41,3.25,4.27,5.52,2.26,6.29,4.45,2.32,7.38,6.98,8.41,3.25,4.27,5.52,4.04,3.51,5.24,8.42,3.08,7.87,3.05,4.08,1.38,2.68,1.5,2.73,3.14,2.86,2.97,0.7,7.74,3.74,2.22,2.93,2.2,5.07,3.39,5.21,3.76,1.84,1.57,2.09,3.76,1.24,0.29,3.06,1.73,2.37,3.6,1.7,2.38,2.62,9.2,2.34,2.12,1.2,3.56,4.11,6.58,4.76,0.62,7.37,1.83,0.52,7.47,2.17,5.28,1.94,5.2,6.27,2.84,3.95,3.3,0.66,2.28,0.64,4.23,4.82,4.08,2.42,9.37,2.62,,,,,
