"SALTASH PENTILLIE CASTLE",,,,,,,,,,,,
Grid ref,SX410646,Long,-4.241418,Lat,50.459624,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.60,3.99,3.15,5.65,9.27,2.99,10.78,1.79,2.69,2.18,,
February,7.81,1.86,2.61,3.45,7.79,1.68,5.60,3.71,3.25,0.72,,
March,2.84,3.21,3.97,6.16,3.08,7.64,2.05,1.70,5.75,6.60,,
April,2.52,4.94,2.83,2.25,2.59,3.58,1.10,6.17,3.65,2.95,,
May,2.62,1.97,2.53,4.36,4.21,0.88,4.87,4.54,3.11,1.47,,
June,5.47,2.13,3.24,2.15,2.26,2.78,1.37,3.57,0.97,4.69,,
July,1.55,1.75,3.39,6.25,5.10,0.71,1.86,2.38,4.08,4.23,,
August,3.94,3.28,3.24,6.37,3.65,5.80,3.90,2.24,4.77,2.03,,
September,2.20,5.07,3.39,5.21,3.76,1.84,1.57,2.09,3.76,1.24,,
October,3.27,3.87,3.99,13.37,2.96,1.88,7.34,8.02,2.24,9.89,,
November,6.08,1.05,7.93,3.08,3.08,8.74,3.94,4.70,2.36,1.62,,
December,8.88,9.57,5.56,7.44,6.07,2.17,3.61,7.40,6.32,8.53,,
Total,55.78,42.69,45.83,65.74,53.82,40.69,47.99,48.31,42.95,46.15,,
Calc annual,55.78,42.69,45.83,65.74,53.82,40.69,47.99,48.31,42.95,46.15,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
