CORFE-MULLEN-THE-PLANTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY976963,Long,-2.035397,Lat,50.766283,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1606/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,5.64,3.16,6.75,2.62,2.36,4.1,2.81,6.29,0.95,0.71,3.51,2.25,1.06,1.91,4.92,6.18,3,4.33,4.43,4.07
February,,,,,,,,,,,4.62,0.6,0.67,0.46,2.4,3.29,1.76,1.03,1.71,6.21,6.3,0.74,1.68,3.29,2.61,,4.45,3.1,0.36,3.09
March,,,,,,,,,,,2.8,2.69,1.05,0.41,1.13,1.13,8.14,1.22,1.46,1.88,4.53,2.99,0.63,4.54,1.69,,3.45,1.82,4.01,2.24
April,,,,,,,,,,1.71,2.69,2.43,0.86,1.76,0.83,2.68,2.45,1.84,1.86,2.72,4.31,1.85,2.57,0.15,1.33,2.25,0.15,0.63,3.05,2.28
May,,,,,,,,,,1.26,2.79,4.04,2.61,0.65,2.71,3.96,2,2.37,2.15,1.99,1.17,2.42,2.64,3.62,4.6,0.15,2.56,2.66,1.23,2.41
June,,,,,,,,,,0.26,1.61,0.42,0.76,2.08,2.84,3.83,1.73,1.85,1.03,0.85,0.45,0.87,1.95,2.77,3.11,2.17,0.99,5.23,1.46,2.49
July,,,,,,,,,,3.63,2.26,2.05,2.1,2.91,1.05,1.06,1.06,0.83,0.63,5.38,1.57,0.83,2.87,2.65,1.08,3.1,3.61,1.95,2.38,3.8
August,,,,,,,,,,0.04,4.44,3.65,1.66,2.08,1.97,4.37,0.59,3.26,1.37,3.58,4.39,2.98,2.29,3.65,0.46,4.06,3.19,3.51,2.57,4.03
September,,,,,,,,,,1.72,0.9,2.62,1.62,1.97,3.24,5.61,1.33,3.23,4.3,3.9,4.31,3.85,2.89,3.5,1.67,4.86,3.72,4.27,0.27,7.42
October,,,,,,,,,,5.63,0.84,5.09,4.08,5.05,4.34,1.35,0.99,1.83,7.65,1.24,1.32,4.2,3.87,3.79,5.99,2.56,3.18,4.45,3.31,8.84
November,,,,,,,,,,7.9,2.27,1.96,1.51,7.55,1.12,6.02,1.75,1.89,4.39,6.9,9.26,3.8,1.76,7.09,4.14,1.01,2.52,2.75,4.19,5.99
December,,,,,,,,,,2.89,2.74,6.27,2.15,3.22,4.84,4.03,3.03,5.44,2.3,2.41,3.06,2.81,1.2,4.28,6.28,6.2,2.9,3.32,8.44,3.69
Total,,,,,,,,,,,33.6,34.98,25.82,30.76,28.83,41.43,27.64,31.08,29.8,37.77,44.18,29.59,25.41,41.24,37.88,,33.72,38.02,35.7,50.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Gauge moved from Lytchett Matravers (Forest Hill) no 1599/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Given elevation of 300ft appears left over from previous location as only place at this elevation is Forest Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation in 1960 of 210ft more likely ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Plantation is a house around NGR from MIDAS but exact house not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Not printed About 6in low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Feb and Mar part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 26 Inspection Recommend moving away from trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 7892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
