ERITH-SANATORIUM,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ491770,Long,0.14537843,Lat,51.472324,Elevation,182,ft,,,,,,,,,,,,,
Station no,413,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,1.96,1.26,1.34,1.05,1.51,1.1,3.88,3.41,1.99,3.86,
February,,,,,,,,,,,0.97,1.26,0.22,1.48,0.18,2.1,1.25,3.93,0.5,0.97,
March,,,,,,,,,,,1.53,0.17,1.3,1.88,2.07,0.57,0.92,2.69,0.28,1.25,
April,,,,,,,,,,,1.19,3.98,1.72,0.53,1.79,2.78,1.55,2.39,0.28,2.24,
May,,,,,,,,,,,2.89,3.11,3.39,1.98,0.43,1.23,0.32,3.73,1.54,1.62,
June,,,,,,,,,,,0.53,1.94,0.81,2.15,1.34,2.71,2.35,2.23,0.31,1.33,
July,,,,,,,,,,,1.81,3.1,1.96,1.58,0.83,0.52,2.99,0.82,1.16,2.18,
August,,,,,,,,,,,3.08,3.97,2.59,0.61,1.74,1.86,0.41,0.65,1.23,,
September,,,,,,,,,,0.14,3.01,1.24,1.52,2.26,1.21,3.32,2.69,1.58,1.67,,
October,,,,,,,,,,2.63,1.12,0.54,5.24,1.34,1.59,2.85,1.67,2.03,2.05,,
November,,,,,,,,,,4.45,4.22,2.32,0.84,0.68,2.12,3.79,3.43,1.74,2.48,,
December,,,,,,,,,,4.03,1.46,0.65,0.36,0.68,4.4,2.04,1.91,3.51,2.46,,
Total,,,,,,,,,,,23.77,23.54,21.29,16.22,19.21,24.87,23.37,28.71,15.95,,
