"HARTLEPOOL HURWORTH BURN",,,,,,,,,,,,
Grid ref,NZ409332,Long,-1.367005,Lat,54.692186,,,,,,,
Station no,3526,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.36,1.41,0.83,2.05,1.59,0.33,3.09,0.79,1.10,0.71,,
February,6.50,2.20,1.07,0.82,3.09,0.78,1.02,1.57,1.18,1.42,,
March,2.23,2.33,0.80,1.73,1.91,1.76,1.15,0.83,4.13,4.95,,
April,1.00,1.13,1.60,1.38,1.29,2.57,0.75,1.89,2.98,2.23,,
May,0.96,1.64,2.22,1.85,2.94,0.85,3.37,3.17,1.33,1.63,,
June,3.29,1.57,2.17,2.97,1.93,0.72,1.13,3.74,0.82,2.24,,
July,1.85,3.21,2.43,4.19,1.27,1.41,0.61,1.50,2.88,2.57,,
August,5.70,2.16,1.93,2.06,2.97,3.55,3.54,2.24,1.41,3.84,,
September,0.62,1.10,0.97,2.76,1.97,2.89,0.43,0.49,2.59,2.45,,
October,6.37,2.06,3.52,8.76,0.76,2.64,5.02,5.45,1.68,2.21,,
November,2.95,4.76,1.47,1.84,2.37,4.99,3.06,2.66,1.62,1.17,,
December,2.83,3.13,2.60,2.10,2.49,0.66,1.97,3.38,0.88,3.00,,
Total,37.66,26.70,21.61,32.51,24.58,23.15,25.14,27.71,22.60,28.42,,
Calc annual,37.66,26.70,21.61,32.51,24.58,23.15,25.14,27.71,22.60,28.42,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
