FERNDALE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS9968796837,Long,-3.4516843,Lat,51.661332,Elevation,860,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4078/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,13.41,5.49,5.08,8.95,15.66,10.46,6.8,14.46,7.81,18.4,3.16,2.92,10.62,9.82,2.47,4.69,9.54,10.19,13.08,8.19,11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,7.26,9.02,9.17,0.73,5.97,2.36,12.3,9.5,2.22,5.47,5.08,14.94,8.79,1.73,3,9.02,3.83,0.83,10.17,10.83,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.91,7.14,5.44,6.52,2.01,0.6,5.2,3.56,11.38,5.61,2.77,7.07,7.73,6.17,5.67,8.03,4.54,3.59,9.03,1.76,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.45,5.65,5.72,2.29,4.6,2.45,5.63,4.94,1.99,8.6,3.36,6.4,5.26,6.87,5.24,5.28,1.91,4.69,1.82,0.53,2.14,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,7.92,1.38,2.38,4.74,11.73,8.83,3.63,5.23,4.82,3.23,5.18,5.58,2.29,4.08,5.91,4.52,4.78,7.86,2.24,3.66,6.63,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,5.3,4.92,0.74,2.04,0.36,6.69,5.04,8.46,8.13,3.84,8.65,0.55,3.36,2.67,3.81,4.61,8.11,9.5,5.17,1.13,5.13,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,7.25,18.75,7.46,3.5,6.62,5.61,4.62,5.51,4.21,4.47,2.93,2.08,11.22,2.23,3.36,9.44,6.14,1.57,6.65,7.41,5.68,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,5.71,4.94,0.8,9.98,8.16,7.82,6.24,4.14,12.21,0.56,9.14,4.21,15.79,9.65,8.86,7.88,7.29,2.82,9.65,6.7,7.67,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.6,1.18,3.9,0.98,8,7.22,8.33,6.97,11.95,4.94,7.59,3.97,14.12,7.17,3.65,8.56,12.21,2.87,8.28,12.34,11.81,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,15,5.8,13.63,8.32,7.75,6.19,11.33,8.91,1.44,2.63,6.7,14.51,3.42,1.75,8.54,5.41,16.09,5.16,,9.37,9.78,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
