"FERNDALE PARK",,,,,,,,,,,,
Grid ref,SS998967,Long,-3.450012,Lat,51.660121,,,,,,,
Station no,4078/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.62,9.82,2.47,4.69,9.54,10.19,13.08,8.19,11.59,,,
February,8.79,1.73,3.00,9.02,3.83,0.83,10.17,10.83,0.54,,,
March,7.73,6.17,5.67,8.03,4.54,3.59,9.03,1.76,7.89,,,
April,6.87,5.24,5.28,1.91,4.69,1.82,0.53,2.14,6.33,,,
May,4.08,5.91,4.52,4.78,7.86,2.24,3.66,6.63,2.41,,,
June,2.67,3.81,4.61,8.11,9.50,5.17,1.13,5.13,3.61,,,
July,2.23,3.36,9.44,6.14,1.57,6.65,7.41,5.68,7.24,,,
August,9.65,8.86,7.88,7.29,2.82,9.65,6.70,7.67,2.12,,,
September,7.17,3.65,8.56,12.21,2.87,8.28,12.34,11.81,0.48,,,
October,1.75,8.54,5.41,16.09,5.16,2.71,9.37,9.78,8.57,,,
November,15.34,5.79,8.35,17.20,8.02,2.29,3.22,3.76,12.12,,,
December,9.98,6.72,2.61,9.06,12.15,11.99,6.16,7.95,17.61,,,
Total,86.88,69.60,67.80,104.53,72.55,65.41,82.80,81.33,80.11,,,
Calc annual,86.88,69.60,67.80,104.53,72.55,65.41,82.80,81.33,80.51,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.40,NaN,,
