WARMINSTER-HIGH-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST872450,Long,-2.1845962,Lat,51.204065,Elevation,387,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,0.59,3.54,1.6,3.17,3.77,3.22,4.03,3,0.81,0.72,3.39,2.25,,,,,,,,
February,,,,,,,,,,,4.51,4.44,2.13,5.12,2.61,4.22,0.89,0.64,1.79,2.28,0.87,0.01,,,,,,,,
March,,,,,,,,,,,1.9,2.43,1.61,1.7,3.09,1.16,2.33,2.87,3.57,2.82,1.11,2.28,,,,,,,,
April,,,,,,,,,,,1.7,0.67,5.06,1.22,2.16,2.63,3.93,1.42,2.47,3.09,2.79,1.15,,,,,,,,
May,,,,,,,,,,,0.84,1.43,2.18,2.42,1.53,3.33,5.23,2.21,2.21,1.66,2.01,3.16,,,,,,,,
June,,,,,,,,,,4.61,2.01,2.92,4.41,2.48,3.9,1.21,1.23,0.99,3.15,2.61,3.95,1.83,,,,,,,,
July,,,,,,,,,,3.43,4.03,2.37,4.75,4.08,3.51,0.18,2.42,0.88,5.48,2.49,3.5,2.7,,,,,,,,
August,,,,,,,,,,5.51,1.09,6.38,2.01,1.96,1.6,1.72,1.2,3.01,1.61,2.76,2.73,5.7,,,,,,,,
September,,,,,,,,,,3.08,3.85,1.68,2.92,4.17,1.56,5.14,2.29,2.39,1.5,1.44,1.47,1.8,,,,,,,,
October,,,,,,,,,,1.02,5.15,1.95,6.33,2.86,0.87,3.96,4.27,2.26,1.54,3.67,0.96,7.55,,,,,,,,
November,,,,,,,,,,0.53,3.17,4.41,4.14,4.52,1.85,4.19,3.71,3.93,6.2,1.63,2.3,2.5,,,,,,,,
December,,,,,,,,,,1.36,3.62,3.66,3.69,1,3.84,1.27,6.07,2.52,3.71,2.01,1.83,4.17,,,,,,,,
Total,,,,,,,,,,,32.46,35.88,40.83,34.7,30.29,32.23,37.6,26.12,34.04,27.18,26.91,,,,,,,,,
