DOUGLAS DERBY SQUARE,,,,,,,,,,
,,,,,,,,,,
Station no,RR1229,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.74,1.42,2.71,4.23,6.11,3.41,4.24,2.87,1.64,1.91
February,3.62,3.63,3.03,2.09,4.12,3.71,2.11,1.18,1.01,2.88
March,2.67,3.50,4.85,1.12,3.26,3.22,3.92,1.73,3.34,2.64
April,2.85,1.66,3.98,1.30,1.75,3.05,2.25,1.46,2.58,3.97
May,0.76,2.79,1.07,2.05,1.14,2.18,4.58,1.46,1.80,2.94
June,2.68,4.42,3.48,1.99,0.68,1.93,1.45,0.67,2.26,0.48
July,4.77,2.47,5.19,1.59,4.18,2.36,5.08,2.29,5.98,2.44
August,0.66,4.65,3.46,3.22,1.56,1.71,2.41,1.10,2.93,5.59
September,4.63,3.73,3.90,7.52,2.66,5.67,3.73,3.08,0.85,3.07
October,6.23,2.52,4.48,4.36,2.06,3.65,3.73,2.96,2.58,3.61
November,4.15,4.21,7.29,4.64,3.71,1.96,4.48,3.22,4.87,2.55
December,3.62,3.92,4.51,3.57,4.69,1.89,6.22,2.79,4.25,3.13
Total,37.38,38.92,47.95,37.68,35.92,34.74,44.20,24.81,34.09,35.21
Calc annual,37.38,38.92,47.95,37.68,35.92,34.74,44.20,24.81,34.09,35.21
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
