ARUNDEL DALE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Ref,SU974101,Long,-0.615,Lat,50.8829,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,5.5,2.37,2.1,2.77,1,3.7,4.74,4.85,1.96,,,,,,4.59,0.31,2.09,3.7,2.11,4.29,8.28,2.61,4.23,3.22,2.52,2.85,7.3,4.86,2.25,3.81,0.6,5.93,2.06,4.33,0.59,2.57,2.6,2.98,4.76,,5.1,3.1,1.31,0.85,3.46,,,,,,,,,
February,,,,,,,2.3,1.62,5.07,2.92,2.96,1.05,1.31,0.91,0.73,,,,,,0.8,0.29,0.56,0.28,0.41,3.36,5.44,2.77,1.28,3.27,2.4,1.84,2.14,2.1,2.26,1.9,2.73,2.21,2.15,5.28,3.45,4.53,2.18,3.56,2.26,,0.64,1.2,1.27,2.05,2.41,,,,,,,,,
March,,,,,,,2.16,1.22,3.94,0.52,0.5,4.2,0.62,1.69,0.3,,,,,,2.9,2.86,4.56,1.51,3.43,1.45,1.2,3.54,1.88,1.35,1.88,1.28,1.4,2.4,0.5,1.4,3.85,2.23,1.98,0.49,0.79,3.48,1.76,0.41,2.41,,3.11,1.52,4.22,2.66,0.8,,,,,,,,,
April,,,,,,,2.13,1.14,3.35,4,3.65,2.24,0.48,4.08,0.75,,,,,,1.71,0.94,1.64,0.9,1.02,0.28,1.71,1.93,2.11,1.13,0.1,5.02,1.23,0.65,2.34,1.15,2.2,2.6,3.32,3.3,1.87,0.22,3.41,1.91,1.46,,1.87,1.67,1.31,2.4,1.88,,,,,,,,,
May,,,,,,,2.07,2.29,0.41,3.46,3.59,1.51,2.78,1.86,4.64,,,,,,4.52,1.82,3.9,2.94,1.31,2.72,1.08,2.14,1.21,4.75,1.3,0.82,3.61,1.1,0.28,1.2,1.12,2.18,4.41,2.95,0.15,1.63,1.65,1.67,0.5,3.91,4.89,1.34,1.67,3.39,3.08,,,,,,,,,
June,,,,,,,1.12,1.95,4.65,1.34,2.24,2.19,6.86,2.82,2.42,,,,,,6.65,2.89,2.02,4.17,0.82,1.74,2.95,2.28,0.86,1.52,0.32,4.37,2.1,2.5,2.66,2.3,1.28,0.8,2.8,6.34,2.74,2.49,3.03,2.43,1.56,2.02,0.99,1.04,2.56,1.27,2.25,,,,,,,,,
July,,,,,,,2.34,0.71,4.66,2.21,2.69,2.98,1.96,5.45,2.41,,,,,,3.23,3.62,2.24,1.45,0.05,3.73,2.12,5.67,1.04,0.8,3.44,4.5,2.7,2.52,3.55,3.65,0.86,3.21,1.2,4.19,3.13,2.43,3.58,2.4,3.59,1.22,4.25,1.09,6.82,1.63,1.9,,,,,,,,,
August,,,,,,,4.39,2.02,4.88,0.74,3.32,1.65,4.84,3.07,0.88,,,,,,6.46,1.27,2.12,2.01,1.33,5.28,2.77,3.2,3.87,1.05,2.63,1.5,2,3.15,2.1,1.3,3.28,2.93,4.1,6.43,0.65,6.01,1.93,1.25,1.72,0.5,2.43,2.98,2.33,2.4,4.76,,,,,,,,,
September,,,,,,,3.16,1.7,3.83,3.52,2.69,0.23,6.96,3.11,1.34,,,,,,5.09,2.2,1.68,5.25,3.7,0.12,8.15,2.01,3.94,5.35,2.21,3.7,1.67,2.6,4.9,3.61,6.04,1.7,1.63,3.75,4.9,3.95,3.42,4.15,4.34,5.14,2.22,3.89,1.6,0.1,0.9,,,,,,,,,
October,,,,,,,6.61,2.73,4.95,4.76,2.48,3.84,8.32,6.67,4.61,,,,,,3.32,2.02,8.94,4.05,1.63,12.23,1.52,3.54,4.06,4.11,5.77,1.84,7.55,4.05,4.61,5.3,1.77,2.47,3.65,1.11,8.73,2.43,9.7,2.96,1.57,4.37,4.96,1.32,2.25,5.84,1.5,,,,,,,,,
November,,,,,,,2.67,2.42,2.23,2.1,4.15,0.93,8.17,1.75,2.75,,,,,,3.89,3.96,1.28,1.88,3.61,3.86,2.7,1.9,1.43,0.84,2.53,0.85,5.37,3.7,2.67,4.91,3.47,8.23,2.6,1,4.46,5.31,4.12,4.7,1.64,4.19,3.57,5.45,4.36,1.03,2.65,,,,,,,,,
December,,,,,,,2.16,4.58,4.01,3.77,2.94,0.77,4.99,0.2,2.01,,,,,,1.93,1.93,2.99,2.81,1.29,3.2,3.2,2.06,8.86,3.25,2.3,1.3,4.65,1.25,1.6,1.25,8.76,2.9,3.53,0.78,4.66,4.18,3.19,1.05,4.39,1.71,5.83,2.85,2.55,2.7,0.7,,,,,,,,,
Total,,,,,,,36.61,24.75,44.08,32.11,32.21,25.29,52.03,36.46,24.8,,,,,,45.09,24.11,34.02,30.95,20.71,42.26,41.12,33.65,34.77,30.64,27.4,29.87,41.72,30.88,29.72,31.78,35.96,37.39,33.43,39.95,36.12,39.23,40.57,29.47,30.2,,39.86,27.45,32.25,26.32,26.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1851 Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
