CHURCH-STRETTON-ST-MARGARETS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO460935,Long,-2.7975621,Lat,52.53667,Elevation,672,ft.,,,,,,,,,,,,,
Station no,2278,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.48,5.35,2.19,6.41,2.7,4.03,2.51,3.96,1.36,4.54,4.5,5.5,7.09,
February,,,,,,,,3.24,3.46,1,1.24,3.25,0.28,4.24,0.29,3.94,3.28,6.23,0.9,1.95,
March,,,,,,,,3.28,3.28,0.37,3.46,0.53,3.11,2.88,2.57,1.15,3.05,3.31,0.49,3,
April,,,,,,,,2.12,1.95,1.15,3.98,4.18,4.72,1.06,3.28,4.35,2.99,2.09,0.19,3.1,
May,,,,,,,,1.3,1.43,2.52,2.66,5.29,4.74,1.81,2.04,1.1,0.96,2.04,2.58,1.35,
June,,,,,,,,5.23,3.92,3.38,0.71,6.06,1.12,3.34,1.85,3.73,4.09,0.88,2.74,1.44,
July,,,,,,,,2.82,1.58,2.3,4.5,3.19,4.29,3.1,1.65,0.85,5.66,3.17,2.64,6.53,
August,,,,,,,,5.87,3.48,2.34,3.73,6.03,1.46,0.82,3.29,1.26,0.85,2.46,3.18,1.86,
September,,,,,,,,4.33,1.21,1.24,3.8,2.56,3.21,1.49,2.91,5.53,4.26,3.07,1.45,,
October,,,,,,,,2.65,5.16,4.9,4.17,0.9,5.64,5.92,3.04,4.16,2.38,3.92,4.44,4.01,
November,,,,,,,,4.73,5.09,7.7,4.5,6.77,2.24,0.95,3.57,6.31,4.11,2.01,5.62,5.52,
December,,,,,,,,3.23,2.75,7.47,4.43,1.51,1.68,0.76,5.92,4.88,4.7,4.18,4.46,2.63,
Total,,,,,,,,42.28,38.66,36.56,43.59,42.97,36.52,28.88,34.37,38.62,40.87,37.86,34.19,,
,,,,,,,,,,,,,,,,,,,,,
NGR is St Margarets on Sandford Avenue. Altitudes match,,,,,,,,,,,,,,,,,,,,,
