BATH-CLAVERTON-LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST764644,Long,-2.34004,Lat,51.37835,Elevation,375,ft,,,,,,,,,,,,,
Station no,1984,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.84,2.99,3.92,3.1,4.39,1.33,4.05,1.87,2.6,2.42,2.27,0.7,3.74,,,,
February,,,,,0.15,4.26,2.05,4.03,2.27,1.03,0.86,2,0.11,3.1,0.13,1.92,2.6,,,,
March,,,,,1.28,0.91,1.04,3.3,3.05,0.19,1.95,0.67,1.99,3.15,2.71,0.88,2.44,,,,
April,,,,,2.8,2.55,3.45,1.66,1.52,0.72,1.83,2.46,3.54,1.06,2.39,4.91,2.55,,,,
May,,,,,4.89,4.56,2.35,0.8,1.97,1.73,1.73,3.35,4.62,2.23,1.11,1.57,0.7,,,,
June,,,,,2.43,0,2.73,2.81,2.54,1.16,0.29,2.65,1.43,0.81,2.14,4.83,,,,,
July,,,,,3.55,3.49,2.55,3.07,3.27,1.72,2.49,4.04,4.85,2.84,1.86,0.62,,,,,
August,,,,,3.08,2.15,1.8,5.23,3.65,2.36,4.21,3.81,0.73,1.27,2.98,1.79,,,,,
September,,,,,3.49,3.4,1.24,6.07,1.37,0.49,3.84,1.76,4.07,2.97,2.68,5.16,,,,,
October,,,,,5.27,2.79,3.69,2.28,4.61,5.07,2.86,1.02,5.74,2.36,1.74,4.83,,,,,
November,,,,,2.91,2.34,6.83,3.18,3.05,7.14,4.09,3.82,2.08,0.65,1.23,6.33,,,,,
December,,,,,3.87,3.63,0.44,3.05,3.12,5.95,3.57,1.63,1.44,1.24,6.4,4.2,,,,,
Total,,,,,37.56,33.07,32.09,38.58,34.81,28.89,31.77,29.08,33.2,24.1,27.64,37.74,,,,,
,,,,,,,,,,,,,,,,,,,,,
1928 Oct Gauge moved 120yds E at end of month,,,,,,,,,,,,,,,,,,,,,
1930 Spring Gauge moved 80yds E,,,,,,,,,,,,,,,,,,,,,
1936 Moved to 2.5 miles NE to Mumfords Batheaston Bath Stn No 1987/5,,,,,,,,,,,,,,,,,,,,,
