STURMINSTER-NEWTON-CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST784141,Long,-2.3085,Lat,50.9266,Elevation,202,ft,,,,,,,,,,,,
Station no,RR7305,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,-999,2.5,1.85,4.3,3.25,3.45,3.65,4.05,1.45,0.68,3.77,2.32,2.19,,,,,,,
February,-999,3.71,2.55,7.15,2.75,4.6,0.55,0.95,2.17,1.88,0.83,0.03,1.96,,,,,,,
March,1.08,2.1,1.3,1.45,3.25,0.85,3.25,2.1,3.88,2.72,1.68,2.47,0.79,,,,,,,
April,2.23,1.1,5,1.45,2.9,3.75,2.3,1.65,1.95,3.14,3.22,0.47,,,,,,,,
May,1,0.9,2.15,1.8,1.7,4.3,3.65,2.15,2.2,1.45,1.98,2.76,,,,,,,,
June,3.6,2.45,4,3.2,3.75,1,0.7,1,2.87,1.91,2.53,1.54,,,,,,,,
July,3.85,2,5.95,3.05,2.6,0.1,2.55,0.45,4.36,2.61,2.81,2.37,,,,,,,,
August,1.05,6.15,2.5,0.8,1.4,1.1,1.15,0.25,1.25,2.74,2.72,5.54,,,,,,,,
September,3.3,1.5,3.05,5.6,1.7,3.1,3.75,2.7,1.2,1.76,1.31,2.02,,,,,,,,
October,6,1.85,6.3,3.2,0.8,4.25,4.95,2.25,1.65,4.67,1.35,10.14,,,,,,,,
November,3.6,5.7,4.85,4.6,1.95,3.95,2.55,3.85,8.49,1.19,2.61,5.07,,,,,,,,
December,4,3.5,3.8,1,4.05,2,6.95,2.45,3.72,2.38,1.67,4.96,,,,,,,,
Total,32.71,33.46,43.3,37.6,30.1,32.45,36,23.85,35.19,27.13,26.48,39.69,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gough Close Sturminster Newton Castle,,,,,,,,,,,,,,,,,,,,
Exact house not found but road very short,,,,,,,,,,,,,,,,,,,,
1880 Jan Feb bracketed Combined total 3.0,,,,,,,,,,,,,,,,,,,,
Observations somewhat irregular til May 1889,,,,,,,,,,,,,,,,,,,,
