BUXTON-DOVE-HOLES,,,,,,,,,,
Grid ref,SK073777,Long,-1.8919368,Lat,53.296208,Elevation,1095,ft.,,
Station no,2681/3/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.38,5.6,2.18,4.54,3.41,7.62,3.38,4.85,3.76,6.83
February,5.42,3.54,3.12,4.04,,,3.32,7.55,0.6,3.75
March,6.68,2.52,2.93,4.03,4.01,1.8,3.95,2.52,2.25,1.61
April,3.41,4.47,4.14,1.32,1.48,2.18,0.42,1.45,3.75,2.31
May,2.43,2.83,2.28,2.66,5.31,1.32,1.82,4.15,0.5,2.5
June,1.65,2.74,4.02,3.01,3.27,3.23,1.65,5.85,2.21,1.32
July,3.33,3.72,4.98,6.56,1.12,6.23,5.95,6.5,3.4,6.62
August,5.46,2.4,5.07,5.49,0.86,10.72,7.45,3.75,0.6,5.53
September,2.96,3.78,3.51,5.64,2.42,3.98,8.56,5.95,0.21,4.93
October,1.42,6.24,2.64,7.78,3.73,3.15,4.58,4.75,4.56,6.36
November,10.86,3.48,2.34,8.19,3.08,1.97,2.35,1.62,6.02,6.65
December,7.52,4.76,2.02,7.8,4.98,6.75,6.21,5,8.75,5.73
Total,56.52,46.08,39.23,61.06,,,49.64,53.94,36.61,54.14
,,,,,,,,,,
NGR is from 1950s record and is near Dove Holes. Altitudes match,,,,,,,,,,
