BUCKINGHAM (MODERN SECONDARY SCHOOL),,,,,,,,,,,,
Grid ref,SP698333,Long,-0.984825,Lat,51.993771,,,,,,,
Station no,1021/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,1.43,0.99,,,3.99,,,,,,
February,3.10,0.45,1.39,,,0.27,,,,,,
March,3.35,2.42,0.72,,,0.85,,,,,,
April,2.90,1.50,1.71,,,2.12,,,,,,
May,2.79,1.88,1.86,,,0.27,,,,,,
June,1.32,1.27,1.59,,,2.55,,,,,,
July,1.35,0.25,3.03,,,3.75,,,,,,
August,4.14,1.60,3.00,,,4.31,,,,,,
September,1.63,1.58,1.56,,,3.14,,,,,,
October,0.74,3.22,2.21,,,2.64,,,,,,
November,4.85,3.05,1.68,,,0.81,,,,,,
December,1.68,2.43,0.50,,,2.83,,,,,,
Total,30.62,21.08,20.24,,,27.53,,,,,,
Calc annual,30.62,21.08,20.24,0.00,0.00,27.53,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
