BUCKINGHAM-SECONDARY-MODERN-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP698333,Long,-0.98482488,Lat,51.993771,Elevation,303,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1021/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.69,2.53,4.53,,3.41,,,,,,1.7,3.86,0.82,0.44,2.77,1.43,,,,3.99,,,,
February,,,,,,,3.7,0.84,0.76,,3.67,,,,,,1.36,1.14,0.96,3.93,3.1,0.45,1.39,,,0.27,,,,
March,,,,,,,3.29,0.21,1.87,,3.11,,,,,,6.97,0.7,1.89,1.04,3.35,2.42,0.72,,,0.85,,,,
April,,,,,,,2.87,0.08,3.16,,2.09,,,,,,1.58,1.42,1.28,2.15,2.9,1.5,1.71,,,2.12,,,,
May,,,,,,1.95,3.63,2.11,1.61,,1.84,,,,,,1.91,3.89,2.85,2.27,2.79,1.88,1.86,,,0.27,,,,
June,,,,,,3.58,1.13,1.06,2.83,,1.56,,,,,,0.85,1.61,0.73,1.36,1.32,1.27,1.59,,,2.55,,,,
July,,,,,,4.69,1.44,1.6,3.27,,3.35,,,,,,1.44,0.96,1.05,3.93,1.35,0.25,3.03,,,,,,,
August,,,,,,0.41,0.73,2.59,2.58,,,,,,,,0.21,4.69,1.1,2.04,4.14,1.6,,,,,,,,
September,,,,,,3.65,1.81,1.89,0.6,,,,,,,,1.55,1.8,2.01,2.67,1.63,1.58,1.56,,,,,,,
October,,,,,,1.4,2.23,3.3,5.92,,,,,,,,0.27,2.84,4.94,0.48,0.74,3.22,2.21,,,2.64,,,,
November,,,,,,2.48,1.67,3.14,4.5,4.19,,,,,,,1.26,1.08,2.69,3.7,4.85,3.05,1.68,,,0.81,,,,
December,,,,,,2.09,1.83,3.67,1.44,1.02,,,,,,,2.62,2.99,1.21,1.14,1.68,2.43,,,,,,,,
Total,,,,,,,28.02,23.02,33.07,,,,,,,,21.72,26.98,21.53,25.15,30.62,21.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Feb IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Jan Aug Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jul Aug Sep Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
