STRANOCUM GARDENVALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ID0194232572,Long,-6.402381,Lat,55.130082,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,4.32,5.57,2.32,5.9,3.1,3.53,4.24,5.46,2.47,3.66,2.48,4.62,3.31,2.51,2.45,1.66,3.29,4.68,2.43,2.98,5.31,4.84,2.55,4.12,2.68,2.91,3.02
February,,,,4.4,3.54,4.59,3.16,3.03,1.84,3.5,0.8,0.29,2.15,2.84,4.16,1.07,3.29,1.72,4.71,1.95,3.06,2.16,2.39,3.61,2.92,3.12,3.19,2.89,3.32,2.9
March,,,,1.72,3.73,2.22,1.85,1.64,3.28,2.93,3.47,4.5,0.93,1.69,2.29,4.22,4.03,5,2.3,2.72,1.46,2.71,2.95,4.82,1.84,3.7,2.98,5.35,4.33,2.8
April,,,,1.35,1.64,2.73,2.27,2.64,1.66,3.08,1.24,0.57,1.93,1.79,1.64,2.02,2.23,2.41,3.33,3.89,3.57,3.11,2.27,1.82,2.9,2.88,3.6,2.51,2.42,3.95
May,,,,3.21,3.59,2.27,3.38,3.19,1.32,2.49,2.17,2.84,4.41,1.09,1.74,0.98,1.29,2.79,4.16,4,3.27,1.99,3.45,3.59,2.23,2.87,3.16,3.39,2.88,1.91
June,,,,2.78,1.02,1.1,2.51,1.49,2.36,0.84,4.08,0.78,3.05,1.76,2.64,2.52,3.81,5.76,3.25,1.94,3.66,3.73,1.48,1.12,2.19,1.9,1.86,5.3,3.88,2.49
July,,,,2.65,3.59,2.41,2.44,2.46,2.78,4.09,5.02,4.22,3.19,4.47,4.18,3.79,5.26,3.45,0.98,4.29,2.97,1.58,3.7,4.31,4.25,2.59,2.5,4.02,2.98,5.53
August,,,,5.96,4.01,1.94,1.82,2.36,7.31,7.3,3.92,5.79,3.94,4.72,3.81,3.41,3.91,5.77,4.46,2.23,4.64,5.64,3.43,6.31,6.15,4.72,5.13,4.96,3.47,3.44
September,,,,5.35,4.02,4.78,3.79,4.36,1.52,4.11,4.4,3.02,4.16,5.04,0.53,0.82,4.86,3.79,4.97,6.92,3.89,3.95,4.25,3.32,3.05,2.39,1.97,1.51,4.61,3.14
October,,,,4.08,4.2,4.17,3.8,2.18,3.19,3.77,3.26,5.5,5.05,4.85,3.04,7.74,4.94,2.58,4.04,3.58,5.33,4.8,2.18,6.37,2.4,3.98,3.83,4.43,1.26,4.92
November,,,,4.87,5.4,2.02,4.1,3.82,6.13,4.84,8.51,3.51,3.24,3.22,2.77,2.9,1.36,2.03,3.91,3.38,5.9,5.57,3.3,5.06,4.31,5.51,3.77,2.93,3.02,2.03
December,,,,4,5.63,3.06,5.73,3.12,3.51,4.48,1.82,3.26,3.37,3.5,3.67,4.56,4.52,4.98,4.06,6.59,4.22,4.49,3.31,3,3.08,3.09,5.35,3.29,3.31,4.21
Total,,,,44.69,45.94,33.61,40.75,33.39,38.43,45.67,44.15,36.75,39.08,37.45,35.09,37.34,42.01,42.73,41.83,44.78,46.65,42.16,35.69,48.64,40.16,39.3,41.46,43.26,38.39,40.34
