GODALMING-ENTON-GREEN,,,,,,,,,,,,,,,,,,,,
Grid ref,SU957404,Long,-0.63299346,Lat,51.154863,Elevation,200,ft.,,,,,,,,,,,,
Station no,179/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.92,7.55,3.38,5.79,2.87,2.99,2.75,7.06,,,,,,,
February,,,,,,2.49,4.98,0.56,1.58,2.78,3.06,0.94,1.76,,,,,,,
March,,,,,,1.71,4.23,0.29,1.54,3.71,3.33,2.53,0.59,,,,,,,
April,,,,,,1.9,2.85,0.13,2.72,1.82,1.25,2.14,0.91,,,,,,,
May,,,,,,0.61,2.37,1.55,2.21,0.99,2.45,3.79,3.68,,,,,,,
June,,,,,,3.79,1.3,0.65,1.65,1.07,1.8,0.25,1.98,,,,,,,
July,,,,,,3.75,1.09,2.1,3.86,2.95,3.26,2.05,2.17,,,,,,,
August,,,,,,1.09,0.82,1.95,2.17,0.05,4.54,3.38,1.36,,,,,,,
September,,,,,,2.29,2.06,1.95,0.82,1.81,0.29,1.54,1.79,,,,,,,
October,,,,,,2.1,3.8,3.51,6.04,3.92,1.27,4.03,3.42,,,,,,,
November,,,,,,4.19,2.74,5.28,5.88,7.93,3.94,1.88,1.68,,,,,,,
December,,,,,,3.99,4.24,4.07,1.81,1.63,2.69,3.98,2.35,,,,,,,
Total,,,,,,33.83,38.03,25.42,36.07,31.53,30.87,29.26,28.75,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is pencilled on the 1940s record and is Enton Green at the stated altitude.,,,,,,,,,,,,,,,,,,,,
"Cannot find where in Enton Green the observer, General Sir J Du Cane, lived.",,,,,,,,,,,,,,,,,,,,
