MARCH HALL EDINBURGH,,,,,,,,,,,,,,,,,,,,
Grid ref,NT270721,Long,-3.1701284,Lat,55.936391,Elevation,170,ft,,,,,,,,,,,,
Station no,RR7372,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,3.4,5.3,1,1.3,3.2,2.5,3.9,2.4,2,1.4,,,,,,,,
February,,,2.3,1.8,2.4,1,3.4,1.5,2.8,2.8,1.6,2.7,,,,,,,,
March,,,2.7,0.5,2.5,1.3,2.4,0.9,2.2,1.4,1.1,1.1,,,,,,,,
April,,1.3,1.8,2.4,1.2,0.9,1.5,2.9,2.6,1.6,0.4,4.6,,,,,,,,
May,,1.7,3.1,1.2,1.3,1.9,1.4,3.4,1.6,1.6,1,1,,,,,,,,
June,,3.3,2,2.9,1.7,1.8,0.8,2.4,0.3,2.1,2.7,2.4,,,,,,,,
July,,2.9,1.9,0.5,1.6,2.5,2.9,5.2,0.2,0.9,1.7,2.8,,,,,,,,
August,,2.4,2.4,3.3,1.1,2.5,4.1,2.1,5.4,1.2,2.1,2.3,,,,,,,,
September,,2.7,2.4,3.3,2.4,1.1,2.22,1.8,4.7,5.9,1.1,2.6,,,,,,,,
October,,1.7,2.6,2.4,6.1,2.5,1.2,1.8,2.6,2.7,2.1,2,,,,,,,,
November,,3.9,1.6,1.9,1,1.6,2.2,0.7,1.7,1.6,1.1,3.4,,,,,,,,
December,,1.65,2.6,2.4,1.8,1.7,2.76,1.3,3.8,1.7,1,1.8,,,,,,,,
Total,,,28.8,27.9,24.1,20.1,28.08,26.5,31.8,25.9,17.9,28.1,,,,,,,,
