PENTLAND HILLS LOGANLEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT198626,Long,-3.282533,Lat,55.849908,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,1.9,3.8,3.9,4.8,8.4,4.1,7.2,2.4,1.9,1.7,7.6,2.5,2.55,2.2,5.3,2.35,1.24,1.45,1.74,5.77,4.48,2.27,1.46,5.79,3.56,1.11,5.28,1.85,5.6,5.13,,,2.01,2.44,2.79,2.58,5.78,4.05,2.64,3.44,3.68,4.78,2.47,2.21,3.37,4.95,4.04,3.37,7.71,1.23,4.09,2,4.98,4.43,4.31,1.35,5.07,3.38,5.75,5.69,1,2.36,5,3.25,2.9,3.6,3.17,3.11,7.28,3.74,2.04,4.35,3.35,0.66,3.89,2.22,2.08,5.18,2.42,1.35,3.82,,,,,,,,,,,,,,,,,,,,
February,3.2,4.1,4.3,3,2.6,4.2,3.9,3,5.2,3.9,1.3,0.8,5.95,4,10.9,1.15,1.3,2.52,2.71,2.31,5.13,1.46,0.9,5.75,3.49,1.88,2,2.54,1.87,2.35,,,2.7,2.16,3.21,3.05,5.31,0.63,4.59,2.38,2.53,0.69,2.62,2.85,0.85,5.65,3.13,1.39,3.24,1.01,0.61,2.6,0.32,1.95,0.16,3.53,3.65,5.22,1.5,3.17,1.08,7.04,1.79,2.65,1.52,4.25,1.92,1.85,3.63,2.83,4.84,3.02,0.46,1.18,2.28,2.01,2.76,3.33,2.98,0.76,2.95,,,,,,,,,,,,,,,,,,,,
March,3,4.7,7.5,3.9,2.5,2.3,6.4,3.5,10,2.8,3.2,8.85,5.5,2.1,3.9,5.85,3.3,4.05,1.88,3.29,1.95,3.21,2.19,6.71,1.63,4.57,3.36,2.93,5.35,6.06,,,3.45,4.89,4.41,1.64,3.13,2.06,1.09,2.45,2.91,3.85,2.15,1.63,0.93,2.59,2.31,3.23,1.94,0.25,2.35,0.81,3.27,1.32,3.94,1.52,2.08,4.33,1.46,3.84,4.19,3.26,1.45,2.14,0.52,1.92,2.77,5.19,2.29,1.12,3.31,3.93,1.52,0.74,2.13,1.78,1.53,2.35,1.99,0.9,1.66,,,,,,,,,,,,,,,,,,,,
April,5.8,1,4.2,1.7,1.4,3.5,2.9,2.1,2.8,4.4,1.2,0.89,1.8,1.55,1.65,2.1,1.95,2.3,2.36,4.09,2.37,2.42,1.81,1.4,3.34,2.09,1.26,1.52,2.41,2.74,,,0.42,2.73,2.26,2.09,5.33,3,0.99,4.98,2.48,0.75,2.3,2.39,1.66,4.82,1.91,1.86,0.95,1.76,1.25,2.5,4.24,2.96,5.12,4.29,1.73,1.42,0.29,1.87,2.87,2.28,1.99,1.38,2.65,1.85,0.91,5.39,2.79,2.4,3.48,4.13,1.75,3.59,1.32,1,0.82,1.12,2.43,2.43,1.52,,,,,,,,,,,,,,,,,,,,
May,2.5,4.1,3.2,2.5,3.6,3.9,5.8,3.3,1.8,2.5,2.4,2.15,3.6,2.25,4.5,1,0.79,2,1.95,4.64,1.99,3.21,3.22,2.78,4.58,1.34,5.5,3.8,2.26,2.16,,,1.6,2.05,2.81,1.63,5.35,2.05,3.06,1,3.08,1.65,1.83,3.25,5.06,5.25,3.42,1.8,1.74,1.72,1.23,2.91,4.2,1.84,1.96,0.92,0.89,2.92,4.11,1.07,2.01,3.8,2.17,3.95,3.26,4.72,2.09,3.1,2.03,2.68,1.95,3.34,1.79,2.2,5.27,2.81,1.61,1.95,2.98,0.88,0.95,,,,,,,,,,,,,,,,,,,,
June,3.2,3.2,4.5,2.8,1.1,0.9,1.7,0.7,3.3,1.5,5.1,0.8,3.7,5.1,3.4,2.3,4.2,4.64,2.7,1.61,3.65,2.21,3.11,1.84,3.27,0.88,2.47,3.71,1.56,2.7,,,5.47,2.21,1.72,1.64,3.99,2.47,0.93,2.42,1.35,0.29,1.69,1.41,2.58,0.62,4.04,3.97,5.19,2.68,2.08,5.04,1.27,2.27,3.31,2.49,2.31,1.44,5.61,2.04,0.83,0.67,1.34,2.47,3.56,2.41,2.41,2.48,4.92,1.21,1.5,2.3,2.93,1.82,2.77,0.92,2.82,2.23,3.8,2.11,1.49,,,,,,,,,,,,,,,,,,,,
July,3.4,3.8,4.9,4.7,7.2,1.4,3.7,3.4,6.4,5.4,4.3,3.9,1.9,2.9,2.5,4.7,5.1,2.37,1.28,4.57,3.37,1,2.62,4.29,2.27,2.42,1.72,3.27,4.33,4.62,,,2.19,0.5,3.73,5.25,5.91,2.13,3.85,1.36,3.67,2.55,3.98,4.34,4.09,1.55,3.19,3.2,2.53,3.52,3.65,3.77,2.22,4.01,1.91,0.98,5.6,5.3,3.72,2.68,7.06,3.51,3.81,3.18,2.69,2.66,4.52,2.66,2.63,2.1,3.37,3.23,2.49,4.76,2.22,2.61,5.74,5.53,6.5,3.49,3.18,,,,,,,,,,,,,,,,,,,,
August,0.9,7.4,2.4,3.6,1.5,3.2,1.9,3.1,2.9,7.5,5.7,9.3,5.8,4.15,5.2,5.55,1.7,3.45,3.81,0.68,4.68,5.52,1.53,3.84,5.1,3.9,6.87,3.93,2.82,2.55,,,5.08,1.78,2.38,4.39,5.43,5.79,1.7,2.18,5.9,4.12,1.86,4.61,3.8,2.76,2.1,7.35,5.28,5.07,5.97,5.56,0.69,1.11,4.18,2.69,1.9,4.39,1.76,1.87,0.89,4.12,3.55,4.82,2.79,4.34,4.78,0.26,10.66,3.26,3.8,6.51,3.68,2.05,6.58,1.41,8.04,5.5,4.09,0.63,4.03,,,,,,,,,,,,,,,,,,,,
September,4.6,4.3,3.2,3.3,3.4,,,5.4,1.2,2.2,2.2,8.85,2.8,2.2,0.8,1.2,5.73,2.86,2.93,2.63,3.78,1.72,2.37,2.7,1.71,2.88,0.74,1.5,3.62,2.82,,,4.04,2.23,1.03,2.61,1.84,2.18,5.38,3.62,1.33,1.48,1.95,3.28,4.16,4.65,3.43,9.46,2.97,0.38,5.83,1.83,3.71,2.06,2.74,4.3,3.2,2.8,3.14,2.1,3.07,0.98,3.99,2.41,5.71,4.4,4.87,2.35,3.49,2.48,6.68,1.68,2.94,3.23,3.66,1.86,4.13,2.42,4.53,0.63,1.88,,,,,,,,,,,,,,,,,,,,
October,4.7,3.1,3.6,3.1,2.8,3.1,5.8,2.9,2.7,5.8,4.4,4.1,5.85,3.45,3.5,4,6.2,1.47,4.4,4.65,4.27,2.53,2.56,8.28,1.69,2.53,8.81,10.85,1.11,5.99,,,4.34,2.8,1.72,2.32,7.67,4.28,4.78,2.23,0.72,3.12,2.16,3.43,3.75,2.35,4.8,4.22,3.88,3.73,3.73,2.53,7.3,2.56,4.82,7.83,3.25,4.43,7.08,2.78,3.01,4.13,4.25,4.82,3.16,4.36,0.83,1.66,1.88,5.96,3.66,0.75,1.92,1.69,6.9,1.97,2.24,3.32,1.89,3.02,3.5,,,,,,,,,,,,,,,,,,,,
