CREDITON (SHOBROOKE HOUSE),,,,,,,,,,,,
Grid ref,SS860010,Long,-3.618961,Lat,50.797315,,,,,,,
Station no,1784/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.66,4.90,3.75,2.96,3.10,4.32,3.47,,
February,,,,2.95,3.05,0.35,4.65,3.65,0.34,3.26,,
March,,,,2.55,1.27,1.17,2.35,1.26,3.68,2.84,,
April,,,,0.25,0.99,1.26,0.18,0.63,3.19,2.95,,
May,,,,2.57,3.26,0.71,1.54,3.02,1.39,2.66,,
June,,,,3.59,3.02,1.90,3.01,3.68,2.07,0.93,,
July,,,,2.67,1.64,4.84,3.26,2.64,2.09,4.82,,
August,,,,2.24,0.83,2.88,2.52,3.82,2.66,4.22,,
September,,,,2.60,1.45,6.14,3.19,3.83,0.30,5.84,,
October,,,,2.13,1.31,2.00,2.23,3.02,3.42,10.88,,
November,,,,5.43,3.17,2.10,2.37,3.58,6.55,3.93,,
December,,,0.87,3.78,5.38,4.17,2.96,4.79,6.26,4.65,,
Total,,,,32.42,30.27,31.27,31.22,37.02,36.27,50.45,,
Calc annual,0.00,0.00,0.87,32.42,30.27,31.27,31.22,37.02,36.27,50.45,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
