STRATA-FLORIDA-HAFOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN761730,Long,-3.820092,Lat,52.34104,Elevation,580,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,5.95,3.5,4.75,4.87,3.39,2.35,4.27,7.81,7.57,3.73,3.55,6.66,5.97,4.49,9.44,5.45,5.07,4.45,6.28,,4.5,7.43,4.75,9.66,5.04,3.53,3.89,7.6,6.28,8.26,7.33,7.99,4.72,4.66,5.66,8.24,11.34,2.24,7.78,7.29,7.15,4.65,4.73,3.72,5.57,6.76,7.7,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,3.7,5.79,4.6,0.35,1.47,5.59,4.4,3.37,7.08,2.46,1.51,4.32,6.16,4.09,7.22,3.27,6.47,1.5,8.5,,2.74,2.25,5.88,6.65,6.08,2.74,5.77,3.38,5.1,1.15,6.98,10.68,1.34,11.81,3.65,4.66,8.06,1.45,0.45,6.85,0.13,5.13,0.93,6.61,2.59,8.9,2.53,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.3,1.56,5,5.93,8.21,6.23,2.4,2.43,7.39,5.21,4.41,7.36,2.49,6.22,5.08,3.29,5.83,4.25,1.36,,10.29,7.46,7.88,2.42,3.6,3.38,3.55,8.59,7.11,5.9,3.58,2.66,1.49,2.67,3.18,6.35,2.78,0.51,3.56,1.72,3.83,3.46,4.04,2.58,2.48,3.73,2.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.17,0.49,1.95,1.95,2.13,5.04,3.91,5.36,3.31,3.53,2.1,2.79,3.27,4.81,1.89,4.28,2.94,4.72,5.23,,0.73,7.13,1.41,3.74,5.46,4.69,1.86,5.13,8.97,2.69,4.28,4.01,3.36,4.53,2.59,4.09,2.72,1.38,4.11,5.85,3.94,0.43,3.29,5.56,2.94,5.58,0.97,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.22,2.26,5.2,0.57,0.5,2.16,4.67,3.49,7.75,0.51,4.59,4.72,2.72,1.15,4.68,4.12,3.64,2.13,3.35,,2.05,3.91,3.99,2.91,5.54,3.17,5.15,1.32,5.43,2.75,1.93,4.75,6.32,5.25,3.92,2.36,1.59,3.87,3.52,4,4.74,1.56,3.17,2.01,2.52,2.18,3.09,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.12,3.51,2.76,1.53,2.18,2.5,4.28,1.29,1.85,4.2,4.23,2.58,2.45,1.68,3,7.04,3.33,2.35,8.39,4.82,5.96,6.16,2.62,1.84,4.09,3.76,3.25,5.78,3.56,0.82,3.01,2.53,3.18,0.05,3.22,7.43,7.96,4.76,1.78,4.18,1.1,4.39,2.43,5.25,5.42,2.65,6.05,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.37,4.06,7.08,7.83,4.55,3.24,3.67,4.13,3.49,3.28,2.81,5.55,2.3,2.81,2.07,4.55,6.39,7.66,6.68,0.96,3.56,2.58,6.44,4.72,3.28,1.99,4.06,3.45,7.94,2.75,5.85,6.19,6.04,4.84,7.96,5.42,4.71,4.67,8.19,6.98,5.49,3.02,2.62,1.84,7.76,3.9,7.32,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.83,4.1,6.18,6.19,5.58,5.19,5.12,2.17,3.01,6.13,4.84,8.71,5.17,9.51,5.49,6.68,5.91,4.34,6.22,3.83,11.97,3.77,5.02,5.67,3.51,14.08,3.47,5.17,2.73,8.39,4.69,5.96,8.71,5.15,5.39,10.05,8.17,5.44,6.33,5.9,1.86,2.39,6.96,2.8,1.39,1.39,5.21,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,5.08,5.33,2.24,1.45,9.71,8.87,2.55,6.25,2.48,2.9,2.84,7.44,2.78,2.75,2.49,2,5.15,5.53,0.72,5.86,1.54,2.51,3.8,1.58,5.87,4.08,11.58,3.67,5.62,2.68,4.99,7.42,7.12,6.43,5.02,8.53,2.17,2.42,6.47,4.17,,1.02,4.18,9.68,4.86,5.8,4.1,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,6.48,6.65,5.05,7.5,6.17,2.35,5.61,5.87,1.55,5.85,6.1,13.71,4.13,4.7,6.87,8.1,1.5,9.45,4.4,6.21,6.57,5.55,3.09,3.41,9.45,10.39,5.24,3.13,4.74,2.92,1.34,10.73,6.96,8.33,5.57,5.93,7.43,9.36,9.32,3.57,,4.14,8.38,9.54,5.54,3.99,8.67,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
