"BURY ST EDMUNDS FARNHAM ST MARTIN",,,,,,,,,,,,
Grid ref,TL852669,Long,0.712775,Lat,52.269062,,,,,,,
Station no,1392,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.46,0.51,0.74,1.62,1.49,1.02,3.12,1.12,0.72,0.83,,
February,2.68,0.75,0.94,0.18,2.39,1.16,2.15,1.29,1.57,0.40,,
March,1.00,1.58,1.66,1.89,1.49,2.45,1.80,0.91,1.67,2.48,,
April,1.49,2.23,1.10,1.74,0.75,1.85,0.89,2.81,2.83,1.33,,
May,1.23,0.96,2.59,1.91,2.05,1.27,1.58,3.13,1.27,1.01,,
June,2.71,1.26,2.89,2.85,0.76,3.25,3.52,1.70,0.73,3.05,,
July,1.88,0.81,1.19,3.43,1.90,0.82,0.47,1.84,3.37,3.47,,
August,2.56,1.14,3.83,3.31,2.39,1.92,0.80,1.91,2.12,2.20,,
September,0.62,1.04,0.54,3.25,1.09,1.44,1.08,0.24,1.27,2.17,,
October,1.95,2.33,1.50,4.54,0.99,1.88,3.93,2.12,1.29,3.30,,
November,2.01,1.21,1.20,1.99,1.18,1.90,3.24,2.19,0.96,0.80,,
December,2.22,2.61,1.05,1.00,1.55,0.66,2.27,2.56,1.44,3.50,,
Total,22.81,16.43,19.23,27.71,18.03,19.62,24.85,21.82,19.24,24.54,,
Calc annual,22.81,16.43,19.23,27.71,18.03,19.62,24.85,21.82,19.24,24.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
