FORNHAM-ST-MARTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL852669,Long,0.712775,Lat,52.269062,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.98,1.43,,,1.89,2.46,0.51,0.74,1.62,1.49,1.02,3.12,1.12,0.72,0.83,1.39,1.37,2.33,,,,,,,
February,,,,,,0.25,1.22,,,1,2.68,0.75,0.94,0.18,2.39,1.16,2.15,1.29,1.57,0.4,1.48,0.9,0.92,,,,,,,
March,,,,,,4.15,,,,1.13,1,1.58,1.66,1.89,1.49,2.45,1.8,0.91,1.67,2.48,0.8,2.06,2.45,,,,,,,
April,,,,,,2.45,,,,2.1,1.49,2.23,1.1,1.74,0.75,1.85,0.89,2.81,2.83,1.33,2.31,1.13,0.23,,,,,,,
May,,,,,,0.67,,,,2.37,1.23,0.96,2.59,1.91,2.05,1.27,1.58,3.13,1.27,1.01,2.76,0.75,1.11,,,,,,,
June,,,,,,1.88,,,,1.1,2.71,1.26,2.89,2.85,0.76,3.25,3.52,1.7,0.73,3.05,2.14,2.14,1.85,,,,,,,
July,,,,,,4.26,,,,2.43,1.88,0.81,1.19,3.43,1.9,0.82,0.47,1.84,3.37,3.47,3.34,0.67,3.09,,,,,,,
August,,,,,,3.27,,,,0.82,2.56,1.14,3.83,3.31,2.39,1.92,0.8,1.91,2.12,2.2,2.14,1.21,8.31,,,,,,,
September,,,,,,1.62,,,,2.66,0.62,1.04,0.54,3.25,1.09,1.44,1.08,0.24,1.27,2.17,1.06,1.74,1.98,,,,,,,
October,,,,,,5.6,,,,1.76,1.95,2.33,1.5,4.54,0.99,1.88,3.93,2.12,1.29,3.3,1.39,3.51,1.29,,,,,,,
November,,,,,,3.57,,,,2.62,2.01,1.21,1.2,1.99,1.18,1.9,3.24,2.19,0.96,0.8,2.41,3.16,2.01,,,,,,,
December,,,,,,3.36,,,,1.33,2.22,2.61,1.05,1,1.55,0.66,2.27,2.56,1.44,3.5,3.7,2.96,1.96,,,,,,,
Total,,,,,,35.06,,,19.64,21.21,22.81,16.43,19.23,27.71,18.03,19.62,24.85,21.82,19.24,24.54,24.92,21.6,27.53,,,,,,,
