FORNHAM-ST-MARTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL852669,Long,0.712775,Lat,52.269062,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.22,3.41,1.43,1.99,2.74,1.76,1.91,1.89,2.93,2.23,2.85,1.63,2.02,1.53,2.84,1.46,1.58,1.4,0.8,1.28,1.2,,,,,,
February,,,,,1,3.17,4.2,0.79,0.92,3.06,1.08,0.3,1.69,4.42,1.31,3.49,1.99,2.18,1.1,0.28,0.47,2.63,0.34,2.24,0.45,,,,,,
March,,,,,4.39,1.7,3.28,2.71,0.81,2.55,1.22,0.94,1.49,1.69,0.6,1.4,0.35,1.54,1.43,0.05,0.82,0.2,1.49,1.96,1.71,,,,,,
April,,,,,0.96,0.93,1.8,1.86,3.72,3.37,4.29,1.98,2.9,1.44,3.32,2.49,2.74,2.18,1.05,1.15,1.93,3.46,2.6,1.25,2.12,,,,,,
May,,,,,1.23,1.28,1.55,0.97,2.27,0.28,0.92,0.85,1.36,1.06,3.97,2.06,1.16,0.57,1.34,1.23,2.77,2.66,5.1,1.67,0.75,,,,,,
June,,,,,1.88,1.31,2.3,2.23,1,1.34,1.97,0.35,1.06,0.65,2.32,0.45,2.56,3.55,1.71,0.77,0.38,0.95,0.56,2.31,1.24,,,,,,
July,,,,,2.89,3.77,2.03,3.32,4.15,3.45,3.15,0.46,3.99,2.19,3.47,0.74,2.17,3.39,2.3,2,4.21,3.8,2.82,1.9,1.06,,,,,,
August,,,,,0.99,2.91,4.53,4.53,1.29,2.64,2.27,0.89,2.52,3.92,2.93,1.87,1.68,2.12,2.01,1.05,2.09,2.16,1.75,0.98,1.44,,,,,,
September,,,,,1.37,1.31,2.33,1.35,5.33,0.68,2.29,1.79,2.64,2.24,3.41,2.89,1.31,3.57,0.4,0.98,3.34,1.95,1.85,2.38,1.19,,,,,,
October,,,,,1.9,1.06,3.06,3.09,2.64,1.56,0.52,1.15,1.33,4.16,4.56,2.49,3.2,2.2,2.28,2.46,0.71,0.73,3.85,1.99,1.38,,,,,,
November,,,,,2.6,2.4,3.28,1.91,2.17,2.36,0.76,1.44,1.75,2.64,2.79,2.33,3.22,2.43,1.32,3.3,4.14,1.61,1.73,1.48,1.17,,,,,,
December,,,,,5.84,3.52,2.89,1.3,3.35,3.71,2.46,1.4,2.43,3.35,2.93,1.61,0.47,2.47,2.63,4.05,1.93,1.02,0.55,0.48,2.57,,,,,,
Total,,,,,27.27,26.77,32.68,26.05,30.39,26.76,22.84,13.44,26.09,29.99,34.46,23.45,22.87,27.73,20.41,18.78,24.37,22.57,23.44,19.92,16.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 - several edits to ensure totals match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1931 Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
