WINTERBURN LONG HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD946601,Long,-2.083942,Lat,54.036851,Elevation,705,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,4.95,2.27,2.03,1.7,5.21,2.9,2.37,1.38,4.28,2.47,2.41,1.41,3.07,6.17,4.28,1.8,2.04,4.29,2.98,1.59,3.41,1.08,3.13,1.09,4.29,1.47,4.18,4.5,3.06,5.52,3.65,2.67,3.68,4.46,4.79,7.62,3.94,4.06,3.3,4.3,4.91,4.34,9.74,2.36,5.97,3.55,5,3.23,4.29,1.25,3.47,3.29,5.22,5.57,0.84,1.27,3.63,5.8,4.41,2.97,3.48,4.9,8.73,2.18,2.58,4.48,3.74,1.22,3.65,2.19,3.78,4.57,4.5,3.64,5.02,,,,,,,,
February,,,,,,,0.83,1.34,1.52,2.4,0.6,0.43,3.07,5.3,6.87,0.79,1.6,3.14,3.06,2.64,3.5,1.27,1.62,3.5,2.93,1.37,1.84,1.51,1.9,1.33,3.04,4.52,2.11,1.67,3.2,5.11,4.49,0.92,6.2,1.71,3.31,0.28,4.76,5.64,0.84,5.73,4.48,2.01,4.83,0.96,0.5,4.6,0.28,3.51,0.25,5.1,2.18,5.87,1.74,3.63,2.51,3.4,1.7,2.57,1.74,5.01,4.14,4,3.36,3.28,6.57,3.31,1.31,1.92,2.96,1.87,1.51,3.67,5.63,0.62,2.6,,,,,,,,
March,,,,,,,3.32,1.51,3.18,3.29,3.36,1.77,0.71,1.26,4.19,3.56,5.1,5,2.39,2.15,0.44,2.97,2.4,5.45,2.24,2.46,2.01,2.75,3.46,3.05,0.65,1.91,5.3,4.96,4.37,1.46,3.22,2.58,1.86,4.61,3.23,3.4,3.01,2.66,1.36,0.97,1.3,3.28,3.42,0.6,2.5,0.47,3.03,2.47,2.99,1.48,2.2,2.3,1.16,2.49,3.19,3.31,2.58,1.22,0.49,1.51,1.28,7.5,1.49,1.75,1.85,3.48,3.07,0.97,2.49,2.02,2.02,3.68,2.1,2.02,1.45,,,,,,,,
April,,,,,,,2.66,1.49,1.92,2.27,1.2,1.89,1.93,0.64,1.93,2.52,1.84,1.96,2.66,3.85,2.1,2.43,1.88,1.89,2.34,2.18,0.81,1.26,3.06,2.98,2.78,1.86,0.73,3.68,1.15,1.5,2.6,1.81,0.92,2.26,4.62,1.29,2.58,3.24,1.69,3.11,1.13,4.16,1.12,1.32,3.02,3.45,4.09,2.23,2.99,3.65,1.14,2.91,0.77,1.72,2.37,1.85,1.53,2.1,3.2,3.42,1.42,4.27,2.41,4.35,3.25,2.34,2.48,2.49,1.05,2.05,2.21,0.5,1.82,2.82,2.23,,,,,,,,
May,,,,,,,3.8,2.38,1.31,2.41,2.3,2.08,4.53,2.51,1.89,0.55,0.34,2.07,2.1,3.54,1.89,1.43,2.63,2.2,2.86,0.44,3.69,3.39,2.41,2.08,1.73,2.04,2.19,2.88,2.31,1.65,2.35,2.16,2.07,1.43,4.43,1.96,0.9,3.54,6.84,5.2,3.66,1.89,1.24,1.47,1.68,2.94,3.73,2.39,3.33,0.64,0.97,2.79,2.92,0.85,1.23,1.84,2.8,3.15,1.88,4.29,1.48,3.5,1.97,2.25,1.84,2.43,2.15,2.2,3.37,3.72,2.26,1.91,6.28,0.58,1.68,,,,,,,,
June,,,,,,,1.86,0.2,2.62,0.59,3.6,1.13,4.7,2.63,2.91,2.33,2.85,3.86,2.97,1.72,3.91,1.51,1.25,2.05,1.15,2.31,2.27,5.28,1.56,2.45,2.53,2.62,7.41,1.99,2.46,2.01,2.56,3.34,1.52,1.21,1.99,0.46,2.33,0.95,2.22,0.11,2.03,3.52,5.41,1.64,1.92,6.95,2.5,2.51,2.87,3.22,3.91,2.12,3.84,3.62,0.6,0.67,1.01,4.03,2.39,3.28,2.84,3.26,4.92,0.92,2.93,1.46,2.84,3,3.68,3.07,3.15,2.07,6.15,2.16,1.93,,,,,,,,
July,,,,,,,4.06,1.84,5.65,3.33,3.63,4.31,2.36,3.4,3.65,5.95,2.92,1.45,1.13,3.31,3.13,1.17,3.72,3.67,1.79,0.89,1.47,2.45,4.29,4.46,3.47,0.71,5.28,1.11,3.51,4.1,4.72,1.99,6.58,2.56,7.71,2.49,5.73,4.4,4.94,1.67,3.66,7.2,1.97,3.57,4.57,4.8,7.27,3.98,2.47,1.52,4.44,2.93,4.65,6.94,4.56,1.72,4.06,2.43,3.88,2.47,4.22,2.99,1.05,3.97,4.02,3.22,2.07,5.51,4.69,0.81,5.44,4.09,3.71,2.29,8.24,,,,,,,,
August,,,,,,,1.95,1.93,5.06,6.39,6.63,7.56,7.12,4.88,3.71,4.22,1.77,7.17,5.28,1.74,5.51,3.54,2.4,4.06,3.45,3.2,4.05,2.8,2.31,3,5.59,2.78,6.13,2.06,2.69,3.14,3.94,8.23,4.27,3.16,2.72,5.47,4.29,5.92,6.52,5.38,4.67,7.23,7.32,4.94,4.83,4.21,1.21,1.72,3.74,1.79,3.45,1.69,4.18,2.35,1.84,5.85,4.01,5.51,1.61,3.2,6.37,0.25,4.26,2.67,6.63,4.16,5.74,5.93,6.09,1.28,10.36,6.07,5.69,0.49,4.96,,,,,,,,
September,,,,,,,3.8,6.38,1.36,1.82,2.46,3,3.86,4.21,0.29,2.23,5.48,4.56,1.02,5.4,1.5,1.84,1.66,4.93,1.1,2.83,0.92,0.72,3.24,2.57,0.37,3.78,2.45,1.81,2.37,0.74,2.16,2.56,10.87,1.82,2.31,2.66,4.74,4.66,4.4,3.51,3.11,5.83,0.69,1.7,2.92,2.79,5.39,1.85,3.13,7.04,4.69,2.12,1.58,1.82,4.65,0.58,2.54,4.46,7.33,3.28,6.53,2.83,4.06,1.09,6.06,3.45,3.95,3.77,5.69,2.63,4.12,6.09,5.62,0.3,3.87,,,,,,,,
October,,,,,,,5.49,2.48,1.37,4.59,2.64,4.25,6.41,5.13,4.38,4.71,4,2.27,4.95,2.67,6.04,2.42,3.51,9.05,1.18,2.12,6.25,4.37,2.72,3.27,3.68,3.06,4.28,2.05,2.45,1.5,10.09,6.97,3.81,2.68,2.6,2.8,1.11,6.61,4.61,5.4,4.46,4.3,6.22,5.23,5.91,2.08,7.01,3.59,4.45,6.66,3.41,3.41,10.49,2.45,3.65,6.14,3.83,2.82,4.19,6.06,1.66,1.28,1.96,5.59,3.75,1.7,4.01,1.83,9.13,2.69,2.59,6.13,4.87,4.07,4.94,,,,,,,,
