MARHAM-AIRFIELD,,,,,,,,,,
Grid ref,TF739087,Long,0.569123,Lat,52.648155,Elevation,76,ft,,
Station no,1466/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.97,1.02,1.59,1.83,,,,,
February,,0.77,1.31,2.01,2.88,,,,,
March,,2.65,1.11,2.35,1.56,,,,,
April,,1.46,1.77,0.21,0.69,,,,,
May,2.08,1.63,1.57,3.21,2.15,,,,,
June,0.93,0.74,4.05,1.67,1.79,,,,,
July,1.05,0.52,3.02,2.6,0.2,,,,,
August,2.87,2.9,2.44,4.82,0.75,,,,,
September,2.34,2.32,0.93,2.24,1.42,,,,,
October,0.7,2.11,2.39,2.21,2.7,,,,,
November,3.16,3.13,1.47,3.71,1.06,,,,,
December,,1.81,0.89,1.96,1.2,,,,,
Total,,22.01,21.97,28.58,18.23,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Note: TYRain_1951-1960_09_pt1-page-063.csv not used as a duplicate of page 62,,,,,,,,,,
1955 - record transferred to Station 1466/7 (Marham PS),,,,,,,,,,
Values 1956-1960 crossed through.,,,,,,,,,,
