"MARHAM AIRFIELD",,,,,,,,,,,,
Grid ref,TF739087,Long,0.569123,Lat,52.648155,,,,,,,
Station no,1466/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.97,1.02,1.59,1.83,,,,3.21,-999.00,,
February,,0.77,1.31,2.01,2.88,,,,0.10,-999.00,,
March,,2.65,1.11,2.35,1.56,,,,1.67,-999.00,,
April,,1.46,1.77,0.21,0.69,,,,1.40,-999.00,,
May,2.08,1.63,1.57,3.21,2.15,,,,0.55,-999.00,,
June,0.93,0.74,4.05,1.67,1.79,,,,1.22,-999.00,,
July,1.05,0.52,3.02,2.60,0.20,,,,3.21,-999.00,,
August,2.87,2.90,2.44,4.82,0.75,,,,1.76,-999.00,,
September,2.34,2.32,0.93,2.24,1.42,,,,0.07,-999.00,,
October,0.70,2.11,2.39,2.21,2.70,,,,1.89,-999.00,,
November,3.16,3.13,1.47,3.71,1.06,,,,1.29,-999.00,,
December,,1.81,0.89,1.96,1.20,,,,3.43,-999.00,,
Total,,22.01,21.97,28.58,18.23,,,,19.80,-999.00,,
Calc annual,13.13,22.01,21.97,28.58,18.23,0.00,0.00,0.00,19.80,0.00,,
Difference,NaN,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,0.00,-999.00,,
