MOSELEY CHANTRY ROAD,,,,,,,,,,
Grid ref,SP074835,Long,-1.8925446,Lat,52.449411,Elevation,472,ft,,
Station no,RR7819,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.07,4.69,4.02,0.97,3.09,1.27,2.02,,
February,,1.73,1.76,0.9,2.22,4.24,4.29,0.97,,
March,,2,4.14,5.04,2.37,0.88,3.67,1.97,,
April,,1.03,0.22,4.02,1.03,1.09,1.15,1.76,,
May,,0.78,2.84,2.1,1.6,2.8,2.56,3.87,,
June,,1.57,5.23,1.2,2.76,0.84,2.19,3.15,,
July,,0.23,3.63,1.72,4.57,6.92,1.99,1.8,,
August,,1.84,6.55,1.23,1.65,1.51,2.25,,,
September,,1.59,0.82,2.1,0.97,0.55,1.43,,,
October,2.14,2.33,2.74,3.15,1.83,2.11,3.34,,,
November,4.31,2.75,2.19,2.78,3.64,2.99,3.56,,,
December,5.54,5.51,3.7,1.34,6.59,5.01,2.57,,,
Total,,22.43,38.51,29.6,30.2,32.03,30.27,,,
,,,,,,,,,,
24th Aug 1917 gauge moved to Oxford Road about 1/2 mile SSW,,,,,,,,,,
