PENTLAND HILLS GLEN COTTAGE (Glencorse),,,,,,,,,,,,,,,,,,,,
Grid ref,NT222635,Long,-3.244469,Lat,55.858386,Elevation,739,ft,,,,,,,,,,,,
Station no,5122,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,0.89,0.96,0.78,6.05,2.07,6.24,2.81,2.39,3.88,6.2,2.11,1.32,3.51,2.54,3.29,2.75,,,
February,,3.92,1.75,4.31,2.31,3.52,1.99,3.22,1.92,3.45,2.58,1.18,1.89,2.05,3.04,1.33,3.24,,,
March,,3.29,2.23,3.4,3.69,4.08,7.32,3.1,3.12,3.72,0.65,1.95,4.31,0.99,3.82,2.08,2.75,,,
April,,2.04,1.53,2.75,1.31,1.13,2.11,3.07,3.01,0.57,0.35,1.86,0,2.66,0.81,1.51,2.91,,,
May,,0.82,2,1.3,1.15,3.14,0.63,1.54,3.93,1.47,4.35,1.74,2.12,3.61,0.71,2.94,2.42,,,
June,,2.08,4.43,6.18,2.15,1.66,4.15,2.43,5.55,4.4,3.11,2.54,1.76,2.17,3.88,4.37,4.54,,,
July,,2.98,1.62,3.22,5.13,2.29,7.85,6.22,3,4.3,5.45,4.41,1.85,4.34,2.51,2.54,5.59,,,
August,,3.93,6.55,1.91,1.85,2.64,2.73,5.12,4.33,3.06,2.5,5.5,1.86,2.44,2.26,5.38,5.3,,,
September,,2.45,1.31,2.13,5.29,7.48,3.88,2.74,4.84,3.88,4.23,3.25,2.73,1.35,2.99,4.83,1.99,,,
October,,3.76,7.83,2.32,3.17,4.85,2.73,5.5,3.46,2.9,2.26,6.65,1.56,5.23,1.78,8.01,3.84,,,
November,,3.2,1.83,3.1,2.92,3.59,4.73,2.46,3.2,3.13,3.89,2.68,2.05,4.05,5.59,2.9,2.08,,,
December,,2,3.67,8.28,2.7,2.66,4.72,3.4,1.7,2.1,1.13,4.65,4.22,0.94,0.2,4.43,1.02,,,
Total,,31.36,35.71,39.68,37.72,39.11,49.08,41.61,40.45,36.86,36.7,38.52,25.67,33.34,30.13,43.61,38.43,,,
,,,,,,,,,,,,,,,,,,,,
April 1842 dash interpreted as zero,,,,,,,,,,,,,,,,,,,,
