BEDALE - PARK HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE254854,Long,-1.612,Lat,54.264,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,3.17,1.57,0.89,2.85,2.20,0.74,3.19,1.07,1.58,0.82,3.02,1.25,3.74,4.03,0.86,3.00,1.35,3.60,2.29,3.13,3.21,3.69,3.59,1.40,2.04,2.55,3.72,2.98,3.93,1.43,3.92,1.25,2.04
February,5.55,1.07,1.07,2.20,2.70,1.08,1.43,1.41,1.93,0.85,3.05,1.23,1.66,1.26,2.19,3.43,2.42,0.71,1.98,1.66,1.10,0.11,2.62,4.97,0.85,3.66,1.99,1.46,1.64,1.10,0.98,2.01,0.49
March,0.97,2.28,0.72,3.35,1.92,2.31,1.05,1.43,3.58,3.59,0.59,1.56,3.04,3.61,1.41,1.89,3.75,1.74,0.85,2.04,2.37,1.15,2.04,1.40,1.49,1.46,0.80,1.83,2.86,0.18,2.76,0.64,1.49
April,1.32,1.84,1.49,0.83,1.37,1.97,0.35,1.21,1.94,2.45,2.60,0.98,0.14,3.26,0.54,0.82,0.80,1.72,1.26,1.59,3.99,0.98,2.53,2.06,1.67,3.39,0.72,1.36,0.50,0.96,3.20,3.60,1.92
May,1.38,0.87,1.98,4.69,2.49,1.20,3.29,3.58,2.31,1.60,1.96,0.76,2.24,1.86,1.35,1.58,2.67,1.33,2.30,1.23,3.10,1.53,0.71,1.96,5.55,4.19,1.92,1.54,2.02,1.20,1.09,3.00,4.05
June,2.51,1.16,1.92,1.48,2.05,1.75,0.98,3.95,1.26,3.47,2.22,2.65,6.75,1.23,2.54,0.33,1.40,2.99,0.71,0.78,0.61,0.49,1.63,0.74,2.47,0.11,3.09,2.12,3.81,1.38,1.72,3.81,1.42
July,1.83,3.96,1.94,3.19,1.97,0.74,0.92,2.14,2.84,2.40,2.40,0.24,3.07,0.92,2.70,3.52,2.25,1.10,4.28,1.70,4.68,1.36,4.59,2.47,4.19,1.46,2.38,4.92,0.21,3.49,4.98,4.53,4.20
August,6.46,1.82,1.78,2.78,2.75,3.12,2.25,1.62,1.30,3.24,3.29,2.02,4.26,1.09,1.60,2.84,1.89,7.73,2.15,2.44,1.00,4.06,2.64,3.32,2.13,2.50,2.98,5.67,4.75,2.39,3.44,4.23,1.44
September,0.48,0.87,0.79,3.13,0.81,1.58,0.35,0.38,2.73,1.69,0.26,2.06,1.38,1.74,1.04,1.13,2.28,0.43,5.60,0.51,0.88,1.09,3.39,2.27,2.74,2.40,2.25,3.72,0.41,1.03,3.58,3.58,1.44
October,2.90,1.39,2.41,7.72,0.54,1.72,4.69,4.44,1.45,2.28,2.44,2.16,2.60,2.74,1.34,1.44,3.27,2.67,2.28,3.72,3.57,1.21,1.09,2.10,3.37,2.80,2.57,2.43,3.63,2.36,2.10,0.83,2.68
November,2.56,3.99,1.93,1.40,1.94,3.71,2.68,2.39,1.29,0.54,2.99,3.34,1.60,1.88,2.32,1.88,2.76,0.89,1.36,2.58,1.14,2.27,0.92,3.72,1.41,1.65,5.67,1.94,3.33,3.47,3.51,3.93,1.28
December,2.13,3.07,2.38,1.65,1.68,0.68,1.92,2.77,1.14,3.99,2.84,4.97,1.62,1.66,5.28,6.27,1.78,1.16,3.60,3.90,2.81,2.55,3.41,2.78,3.25,3.56,1.01,2.33,1.25,5.77,2.99,0.92,1.09
Total,31.26,23.89,19.30,35.27,22.42,20.60,23.10,26.39,23.35,26.92,27.66,23.22,32.10,25.28,23.17,28.13,26.62,26.07,28.66,25.28,28.46,20.49,29.16,29.19,31.16,29.73,29.10,32.30,28.34,24.76,34.27,32.33,23.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
