LAIRG (ACHANY),,,,,,,,,,
Grid ref,NC570018,Long,-4.419986,Lat,57.982381,Elevation,240,ft,,
Station no,5798/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.42,5.08,6.47,5.05
February,,,,,,,2.39,4.93,0.89,2.8
March,,,,,,,3.7,3.66,1.42,0.6
April,,,,,,,1.28,2.53,3.78,2.42
May,,,,,,,1.32,4.68,1.74,1.39
June,,,,,,,2.72,2.36,2.59,3.6
July,,,,,,,5.29,1.91,3.18,1.84
August,,,,,,,4.33,3.84,2.79,5.06
September,,,,,,2.58,3.28,1.96,1.75,1.67
October,,,,,,4.21,3.52,5.64,4.67,3.72
November,,,,,,5.04,2.79,1.33,4.82,3.08
December,,,,,,4.35,8.19,5.04,3.49,4.22
Total,,,,,,,44.23,42.96,37.59,35.45
,,,,,,,,,,
Station no,5798/7/5,,,,,,,,,
Midas,42,,,,,,,,,
Hyd Stn,783151,,,,,,,,,
