"MIDHURST ST ANNS",,,,,,,,,,,,
Grid ref,SU888215,Long,-0.736263,Lat,50.986065,,,,,,,
Station no,RR2445,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.22,1.46,1.12,3.14,6.12,,,,,,,
February,6.23,2.06,1.70,1.86,4.30,,,,,,,
March,0.94,2.23,2.05,3.92,1.13,,,,,,,
April,1.27,2.48,1.16,2.11,1.52,,,,,,,
May,1.66,0.96,2.63,3.08,3.32,,,,,,,
June,3.54,2.77,2.95,3.00,1.12,,,,,,,
July,0.89,2.05,1.34,2.65,0.88,,,,,,,
August,2.46,1.94,4.34,5.53,2.29,,,,,,,
September,1.04,2.21,0.69,4.09,1.96,,,,,,,
October,1.95,3.38,2.85,9.32,2.12,,,,,,,
November,2.64,0.67,3.78,1.87,,,,,,,,
December,3.91,5.69,1.76,3.07,,,,,,,,
Total,30.75,27.90,26.37,43.64,,,,,,,,
Calc annual,30.75,27.90,26.37,43.64,24.76,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
