DERSINGHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF693307,Long,0.5125435,Lat,52.847189,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.19,3.45,2.46,1.37,0.41,2.11,1.63,2.04,1.94,2.67,3.02,1.5,1.02,0.79,2.48,2.4,0.81,1.45,2.16,3.91,1.36,1.63,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.03,3.07,1.39,2.2,2.03,2.86,1.59,3.05,0.68,2.18,0.54,0.69,2.46,1.7,-999,0.05,2.23,2.91,1.26,0.4,0.64,2.21,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.91,2.14,1.43,1.04,1.31,1.9,1.26,1.82,1.02,0.86,2.01,1.48,2.5,1.65,-999,1.35,0.78,0.56,0.64,2.99,3.37,2.34,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,4.05,3.23,0.83,2.23,2.9,1.11,3.11,1.94,1.76,1.45,1.86,1.06,1.47,1.78,0.52,0.71,1.99,0.14,2.07,1.23,1.41,1.81,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.3,2.02,4.06,3.63,1.61,0.94,1.25,1.52,1.49,3.02,2.38,1.88,0.84,2.89,1.68,2.56,1.88,0.62,2.04,2.12,1.13,1.07,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.28,1.79,2.22,3.51,3.01,2.36,3.95,4.54,1.08,1.68,0.68,0.25,1.43,2.48,2.81,1.89,2.34,1.38,3.49,1.04,2.47,2.18,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,3.23,3.01,,5.45,6.09,1.78,2.24,3.27,3.59,1.19,4.01,1.57,4.09,3.24,3.31,2.57,2.2,3.4,2.81,3.34,2.43,1.12,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.54,,,1.82,-999,-999,,,,-999,,-999,,1.86,4.02,1.92,1.48,2.74,5.03,2.22,2.88,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.41,1.8,2.11,,4.46,-999,-999,,,,-999,,-999,5.4,0.68,0.79,2.42,1.03,1.89,0.49,3.58,5.03,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,0.53,2.02,3.09,1.91,5.54,2.86,5.58,2.34,2.95,5.13,2.98,3.35,0.79,3.34,1.32,4.62,6.4,2.15,2.82,2.21,4.19,1.19,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
