RIG OF MILLMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX435886,Long,-4.458452,Lat,55.166884,Elevation,1450,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,10.88,4.14,7.13,10.99,11.66,7.03,2.42,,,14.58,9.62,,12,,13.69,7.78,5.83,8.18,-999,,,,,,,,
February,,,,1.84,10.43,3.49,7.49,4.92,13.24,1.59,3.22,,14.22,7.11,,6.7,,8.03,8.03,7.12,5.37,-999,,,,,,,,
March,,,,2.45,2.56,5.21,2.29,4.98,,7.84,,,4.45,3.77,6.68,4,,,5.16,6.03,5.16,-999,,,,,,,,
April,,,,4.63,6.84,1.61,4.99,1.72,,,3.29,,7.51,6.12,4.03,3.41,,,10.05,7.79,3.27,-999,,,,,,,,
May,,,,7.7,0.95,2.69,3.13,6.75,1.41,1,5.76,5.55,5.07,,4.03,1.4,4.78,,3.11,3.71,3.27,3.71,,,,,,,,
June,,,,4.08,5.32,3.49,5.78,10.15,3.56,1.24,2.02,2.43,6.8,7.82,7.4,4.16,5.06,8.04,1.5,4.15,3.75,6.52,,,,,,,,
July,,,,4.44,5.57,9.73,6.16,10.21,6.12,4.69,,8.74,5,,4.03,8.13,5.09,6.52,1.61,9.54,5.07,6.75,,,,,,,,
August,,,,6.78,2.59,6.62,2.79,3.88,2.68,4.64,,10.8,11.59,6.72,3.71,5.9,0.09,10.22,7.13,11.71,10.55,7.55,,,,,,,,
September,,,,9.57,8.92,5.43,4.69,8.57,3.44,4.79,3.12,11.14,7.92,12.21,10.04,14.19,9.01,9.07,4.13,15.81,8.9,7.15,,,,,,,,
October,,,5.32,11.47,14.62,10.18,4.31,16.51,4.61,,7.68,12.97,13.7,12.34,13.03,1.01,4.35,7.53,9.06,11.57,1.03,12.15,,,,,,,,
November,,,2.92,1.82,8.84,8.14,1.36,,,10.84,6.29,2.92,9.02,10.22,0.92,14.13,12.11,6.97,10.3,8.91,14.83,6.19,,,,,,,,
December,,,1.95,12.81,5.86,11.31,3.23,,,12.61,4.24,14.85,7.42,12.39,,10,5.03,9.9,12.25,4.19,18.73,9.5,,,,,,,,
Total,,,,78.47,76.64,75.03,57.21,,,,,,107.28,,,85.03,,,80.11,96.36,88.11,80.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 total - arithmetic wrong on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938 Nov 14, Dec 7 and totals estimated from surrounding stations therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939 Mar 9, April 4.5, Nov 13.38, Dec 4.93 and total estimated as too low so removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940 April 3.53, Oct 6 and total estimated - too low, so removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941 Jan 1.9, Mar 4, July 5.02, Aug 6.59 and total estimated therefore removed. Too much estimation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Jan 9, Feb 3 estimated for snow, Mar 5, Apr 4 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944 May 5.41, possibly July 4.62 and total estimated and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945 Jan 7.25, Feb 12.24, Dec 8.31 part estimated and total classed as estimated so removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Jan 8, Feb 1.1, Mar 6.2, Apr 11.55 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948 Mar 7.5, Ap 5, May 2 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Jan/Feb 13.69 and Mar/Arpil 7.09 apportioned in relation to stations 5256/8 and 5256/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record erratic 1934-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
